basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101113748253,2019,110,연결요약재무제표,22352462296000,896857873000,338791509000,191028303000,26280632351000,16799151931000,9481480420000,81908095000,177.178575358,KRW
20191231,1101113748253,2019,120,별도요약재무제표,5882531864000,203657086000,-73352619000,-74461490000,10677387530000,6042720481000,4634667049000,81908095000,130.3808972061,KRW
20201231,1101113748253,2020,110,연결요약재무제표,24245725654000,1359551440000,1178500191000,786425538000,25611892185000,15445453188000,10166438997000,81908095000,151.9258925624,KRW
20201231,1101113748253,2020,120,별도요약재무제표,5980828026000,287147853000,495594126000,340868145000,9538798386000,4615803464000,4922994922000,81908095000,93.7600695742,KRW
20211231,1101113748253,2021,110,연결요약재무제표,26289227767000,1524429392000,1217786769000,892393213000,26855804277000,16049003859000,10806800418000,81908095000,148.5083765614,KRW
20211231,1101113748253,2021,120,별도요약재무제표,6796067327000,305390820000,364444204000,304038438000,10611822485000,5478310060000,5133512425000,81908095000,106.7166027167,KRW
20221231,1101113748253,2022,110,연결요약재무제표,30079513121000,1664708210000,1245523117000,802674084000,30013241845000,18484219204000,11529022641000,81908095000,160.3277205673,KRW
20221231,1101113748253,2022,120,별도요약재무제표,7842662871000,405033974000,333649782000,265820089000,11450867716000,6158689194000,5292178522000,81908095000,116.3734210476,KRW
20231231,1101113748253,2023,110,연결요약재무제표,29023472909000,1291582413000,732033865000,0,29606279551000,17826337301000,0,81908095000,100,KRW
20231231,1101113748253,2023,120,별도요약재무제표,7547072629000,283594955000,338199927000,0,11432692043000,5913271733000,0,81908095000,100,KRW
