basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110002694,2019,110,연결요약재무제표,10416589201821,767266689077,673734304309,447479242607,13171205734337,9028178350231,4143027384106,400489020000,217.9125917648,KRW
20191231,1101110002694,2019,120,별도요약재무제표,9485125995369,680931074214,648832173046,441560073558,11474687207864,7313280164074,4161407043790,400489020000,175.7405629182,KRW
20201231,1101110002694,2020,110,연결요약재무제표,10122930837450,750397845885,518439870868,329675683016,13770677888907,9458561906485,4312115982422,403541015000,219.3485041924,KRW
20201231,1101110002694,2020,120,별도요약재무제표,8890992062853,683181225296,476497878454,326944366118,11871047259267,7450963186388,4420084072879,403541015000,168.5706213623,KRW
20211231,1101110002694,2021,110,연결요약재무제표,9036575422803,646485539335,657929791442,428803249577,15183727264768,10311003421948,4872723842820,427907450000,211.6065624597,KRW
20211231,1101110002694,2021,120,별도요약재무제표,7795915289675,514791410851,462589575299,317165450225,12829912597014,7994357649103,4835554947911,427907450000,165.3245125993,KRW
20221231,1101110002694,2022,110,연결요약재무제표,12299196214752,554834830515,664897622799,441211560543,16946616696898,11590413888307,5356202808591,427907450000,216.3923641897,KRW
20221231,1101110002694,2022,120,별도요약재무제표,8613702892101,281011392569,360875360692,240672685916,12739404443091,7806315499276,4933088943815,427907450000,158.2439641406,KRW
20231231,1101110002694,2023,110,연결요약재무제표,13436684904471,-387945401071,-517486529761,0,17707298538013,12822138677201,0,427907450000,100,KRW
20231231,1101110002694,2023,120,별도요약재무제표,9377833856599,-709423254121,-798709382993,0,13372598064756,9155844155912,0,427907450000,100,KRW
