basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101112207995,2019,110,연결요약재무제표,28625042000000,895648000000,560560000000,376104000000,34024426000000,16640637000000,17383789000000,391406000000,95.7250286459,KRW
20191231,1101112207995,2019,120,별도요약재무제표,22312561000000,582425000000,445822000000,365924000000,27027086000000,10566856000000,16460230000000,391406000000,64.196284013,KRW
20201231,1101112207995,2020,110,연결요약재무제표,30076510000000,1798159000000,943692000000,682408000000,41388894000000,22598454000000,18790440000000,391406000000,120.2656989405,KRW
20201231,1101112207995,2020,120,별도요약재무제표,20830009000000,1114437000000,823181000000,-98223000000,25850150000000,8886645000000,16963505000000,391406000000,52.3868445819,KRW
20211231,1101112207995,2021,110,연결요약재무제표,42654722000000,5025466000000,4890652000000,3953904000000,51135302000000,27925314000000,23209988000000,391406000000,120.3159346743,KRW
20211231,1101112207995,2021,120,별도요약재무제표,20471044000000,3019160000000,3244550000000,2514263000000,30929152000000,12144275000000,18784877000000,391406000000,64.649212236,KRW
20221231,1101112207995,2022,110,연결요약재무제표,51864888000000,2995698000000,2812551000000,2195518000000,67973823000000,30492696000000,37481127000000,391406000000,81.3548002439,KRW
20221231,1101112207995,2022,120,별도요약재무제표,23403601000000,1070050000000,3901109000000,3006969000000,32872824000000,11799396000000,21073428000000,391406000000,55.9918205999,KRW
20231231,1101112207995,2023,110,연결요약재무제표,55249785000000,2529196000000,2498140000000,0,77466694000000,36528509000000,0,391406000000,100,KRW
20231231,1101112207995,2023,120,별도요약재무제표,19947377000000,-109149000000,156631000000,0,34093584000000,13688372000000,0,391406000000,100,KRW
