basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1746110000741,2019,120,별도요약재무제표,30373510738515,2586359351732,1831248899843,1175712402299,55710766417120,10096581285877,45614185131243,482403125000,22.1347400087,KRW
20191231,1746110000741,2019,110,연결요약재무제표,64366847807959,3868854558550,3053278000619,1982637208513,79058661130791,31263954310516,47794706820275,482403125000,65.413005729,KRW
20201231,1746110000741,2020,110,연결요약재무제표,57792795732820,2403035192908,2025086323704,1788152419240,79086973226376,31412381141295,47674592085081,482403125000,65.8891450717,KRW
20201231,1746110000741,2020,120,별도요약재무제표,26509920446184,1135196565145,1017879966790,965863440351,56794968501529,11680264402625,45114704098904,482403125000,25.8901496439,KRW
20211231,1746110000741,2021,110,연결요약재무제표,76332345050013,9238089232877,9416072781873,7195889963608,91471614111915,36666670760250,54804943351665,482403125000,66.9039479249,KRW
20211231,1746110000741,2021,120,별도요약재무제표,39920200836624,6649599886191,6983699744775,5181227349434,64242758955889,15207333960857,49035424995032,482403125000,31.0129543333,KRW
20221231,1746110000741,2022,110,연결요약재무제표,0,4850053015766,4014366223055,3560483538695,98406780635254,40149380046004,58257400589250,482403125000,68.917218482,KRW
20221231,1746110000741,2022,120,별도요약재무제표,0,1674892868684,1319483472995,-467852286299,51149119209287,3977256531610,47171862677677,482403125000,8.4314171751,KRW
20231231,1746110000741,2023,110,연결요약재무제표,77127197108585,3531422506439,2635154036110,0,100945394185079,41281496791611,0,482403125000,100,KRW
20231231,1746110000741,2023,120,별도요약재무제표,1454079239690,1106629372680,683723220295,0,51646197639495,4146332840490,0,482403125000,100,KRW
