basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1344110001387,2019,110,연결요약재무제표,26990733000000,2712718000000,2442726000000,2016391000000,64789494000000,16846299000000,47943195000000,3657652000000,35.1380399241,KRW
20191231,1344110001387,2019,120,별도요약재무제표,25320755000000,1983239000000,1813601000000,1484294000000,57710070000000,11665849000000,46044221000000,3657652000000,25.3361849688,KRW
20201231,1344110001387,2020,110,연결요약재무제표,31900418000000,5012624000000,6237037000000,4758914000000,71173853000000,19264756000000,51909097000000,3657652000000,37.1124853125,KRW
20201231,1344110001387,2020,120,별도요약재무제표,30524987000000,4545877000000,5650034000000,4217841000000,64071005000000,14496701000000,49574304000000,3657652000000,29.2423691919,KRW
20211231,1344110001387,2021,120,별도요약재무제표,41557337000000,12183360000000,13130428000000,9567226000000,84972544000000,26234930000000,58737614000000,3657652000000,44.6646164415,KRW
20211231,1344110001387,2021,110,연결요약재무제표,42997792000000,12410340000000,13415987000000,9616188000000,96386474000000,34195416000000,62191058000000,3657652000000,54.9844577335,KRW
20221231,1344110001387,2022,110,연결요약재무제표,44621568000000,6809417000000,4002780000000,2241669000000,103871512000000,40580970000000,63290542000000,3657652000000,64.1185376482,KRW
20221231,1344110001387,2022,120,별도요약재무제표,37878699000000,7660947000000,4467040000000,2790457000000,91800233000000,31637411000000,60162822000000,3657652000000,52.5863148507,KRW
20231231,1344110001387,2023,110,연결요약재무제표,32765719000000,-7730313000000,-11657816000000,0,100330165000000,46826413000000,0,3657652000000,100,KRW
20231231,1344110001387,2023,120,별도요약재무제표,27639997000000,-4672124000000,-7578702000000,0,92949387000000,38431065000000,0,3657652000000,100,KRW
