basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110037998,2019,110,연결요약재무제표,58145959000000,2009680000000,2531104000000,1826659000000,55344798000000,26366660000000,28978138000000,0,90.988109726,KRW
20191231,1101110037998,2019,120,별도요약재무제표,33857781000000,1479048000000,2058735000000,1515598000000,38356281000000,15206063000000,23150218000000,0,65.6843188259,KRW
20201231,1101110037998,2020,110,연결요약재무제표,59168096000000,2066457000000,1841358000000,1487585000000,60490443000000,30598771000000,29891672000000,0,102.3655384684,KRW
20201231,1101110037998,2020,120,별도요약재무제표,34362327000000,1169129000000,991840000000,765221000000,41591553000000,18007411000000,23584142000000,0,76.353894918,KRW
20211231,1101110037998,2021,110,연결요약재무제표,69862366000000,5065685000000,6393781000000,4760311000000,66849997000000,31937441000000,34912556000000,0,91.4783810157,KRW
20211231,1101110037998,2021,120,별도요약재무제표,40979570000000,2819212000000,2959150000000,2231008000000,45188766000000,19612854000000,25575912000000,0,76.6848666042,KRW
20221231,1101110037998,2022,110,연결요약재무제표,86559029000000,7233120000000,7501993000000,5408976000000,73710965000000,34367884000000,39343081000000,0,87.354327944,KRW
20221231,1101110037998,2022,120,별도요약재무제표,46409721000000,3000886000000,2639370000000,1953513000000,46715448000000,20245275000000,26470173000000,0,76.4833497688,KRW
20231231,1101110037998,2023,110,연결요약재무제표,99808420000000,11607873000000,12677344000000,0,80627826000000,34069591000000,0,2139317000000,100,KRW
20231231,1101110037998,2023,120,별도요약재무제표,58519958000000,6305665000000,9903853000000,0,51988692000000,19304774000000,0,2139317000000,100,KRW
