basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110057574,2019,110,연결요약재무제표,2343942951727,78816048821,103491938775,71068947413,2653049874906,712306478095,1940743396811,30413210000,36.7027644801,KRW
20191231,1101110057574,2019,120,별도요약재무제표,1905694049103,49347259096,81776717618,56271705049,2496940454156,580555379541,1916385074615,30413210000,30.2942966542,KRW
20201231,1101110057574,2020,110,연결요약재무제표,2639795633339,160297491725,190552283976,149048288404,2725528184628,676564196659,2048963987969,30413210000,33.0198188271,KRW
20201231,1101110057574,2020,120,별도요약재무제표,2105700159429,90365893454,122942660294,92786550033,2494167663833,511527289972,1982640373861,30413210000,25.8003063347,KRW
20211231,1101110057574,2021,110,연결요약재무제표,2662982988213,106139720895,136816917866,99637362533,2899907793800,699140508273,2200767285527,30413210000,31.7680343974,KRW
20211231,1101110057574,2021,120,별도요약재무제표,2102582223394,62341126463,95150050230,71120815083,2544772941379,509753376603,2035019564776,30413210000,25.0490651503,KRW
20221231,1101110057574,2022,110,연결요약재무제표,3129065208087,112172856716,158840599107,116033570018,3034718535547,719378356883,2315340178664,30413210000,31.0700934365,KRW
20221231,1101110057574,2022,120,별도요약재무제표,2395960801817,63302715147,100328901360,77166010764,2687384597157,579151847673,2108232749484,30413210000,27.470963432,KRW
20231231,1101110057574,2023,110,연결요약재무제표,3410559367259,212064743455,231128412605,0,3234751426458,793949665281,0,30413210000,100,KRW
20231231,1101110057574,2023,120,별도요약재무제표,2605366051571,124300734400,150981776194,0,2838340424663,664501520847,0,30413210000,100,KRW
