basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110000086,2019,110,연결요약재무제표,17622000488403,427910873611,-1133812036195,-816477652183,33972615751676,22181607402723,11791008348953,141443775000,188.1230743484,KRW
20191231,1101110000086,2019,120,별도요약재무제표,9695325161145,271019741071,0,-753701309562,26964266332882,16298624511032,10665641821850,141443775000,152.8142870656,KRW
20201231,1101110000086,2020,110,연결요약재무제표,16184381959951,346084471821,-771239790283,-686569608178,32829404196405,21740641629099,11088762567306,141443775000,196.060123906,KRW
20201231,1101110000086,2020,120,별도요약재무제표,8708083759301,134008108190,-1117946274957,-1031996637355,24924204973925,15325246557138,9598958416787,141443775000,159.6553072918,KRW
20211231,1101110000086,2021,110,연결요약재무제표,15573550042665,207602693266,-638240714552,-272964154001,33426533819002,21629527142066,11797006676936,141443775000,183.3475875228,KRW
20211231,1101110000086,2021,120,별도요약재무제표,8408202994035,86093962595,-220666263291,191835328062,24226350269092,14470567698443,9755782570649,141443775000,148.3281079058,KRW
20221231,1101110000086,2022,110,연결요약재무제표,15476035656554,386225594610,-567342307033,-318692441033,31703575873070,20668459087068,11035116786002,141443775000,187.29714862,KRW
20221231,1101110000086,2022,120,별도요약재무제표,8814417014838,337599303072,-543977676225,-371210162864,24731773872879,15464184273011,9267589599868,141443775000,166.8630673205,KRW
20231231,1101110000086,2023,110,연결요약재무제표,14555863880290,508404731640,183960744965,0,30644698696537,19808248977726,0,141443775000,100,KRW
20231231,1101110000086,2023,120,별도요약재무제표,8648595514393,482219242341,310295391620,0,23439306045216,14010715192104,0,141443775000,100,KRW
