basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110015762,2019,110,연결요약재무제표,30761501059039,866770072122,1526561917249,1047890680687,45905516600415,19213420293061,26692096307354,19131748300,71.9816835359,KRW
20191231,1101110015762,2019,120,별도요약재무제표,19983631881162,583499953884,844554196609,541070882362,36561826429383,14003083876250,22558742553133,19131748300,62.0738671194,KRW
20201231,1101110015762,2020,110,연결요약재무제표,30216118916989,857079813534,1465155259723,1160650819953,54331740265746,21386258023034,32945482242712,18851450600,64.9140840176,KRW
20201231,1101110015762,2020,120,별도요약재무제표,19088822949941,278155356937,491408768511,320230085224,44441591860769,16447065253408,27994526607361,18851450600,58.7510033089,KRW
20211231,1101110015762,2021,110,연결요약재무제표,34455181882704,1195982736408,2480491197710,1829084039967,55245423114466,22093183631512,33152239482954,18851450600,66.6416024259,KRW
20211231,1101110015762,2021,120,별도요약재무제표,21120591426321,249274050080,2435417862861,1916891322701,44180917710443,15973097603392,28207820107051,18851450600,56.626487062,KRW
20221231,1101110015762,2022,110,연결요약재무제표,43161653399535,2528524413589,3334546525257,2544956968509,58981492466950,27017371086433,31964121380517,18851450600,84.5240535937,KRW
20221231,1101110015762,2022,120,별도요약재무제표,26406560657427,939411976975,1886089046676,1461807708663,39636329822007,15712704457651,23923625364356,18851450600,65.6786094012,KRW
20231231,1101110015762,2023,110,연결요약재무제표,41895681215734,2870173816853,3549496649318,0,66127029212679,26229919730957,0,18721909500,100,KRW
20231231,1101110015762,2023,120,별도요약재무제표,24473670356547,991681313502,1904490564837,0,47037554332882,16289964696924,0,18721909500,100,KRW
