basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1301110006246,2019,110,연결요약재무제표,230400881000000,27768509000000,30432189000000,21738865000000,352564497000000,89684076000000,262880421000000,897514000000,34.1159207136,KRW
20191231,1301110006246,2019,120,별도요약재무제표,154772859000000,14115067000000,19032469000000,15353323000000,216180920000000,38310673000000,177870247000000,897514000000,21.5385505143,KRW
20201231,1301110006246,2020,110,연결요약재무제표,236806988000000,35993876000000,36345117000000,26407832000000,378235718000000,102287702000000,275948016000000,897514000000,37.0677432231,KRW
20201231,1301110006246,2020,120,별도요약재무제표,166311191000000,20518974000000,20451923000000,15615018000000,229664427000000,46347703000000,183316724000000,897514000000,25.2828558075,KRW
20211231,1301110006246,2021,110,연결요약재무제표,279604799000000,51633856000000,53351827000000,39907450000000,426621158000000,121721227000000,304899931000000,897514000000,39.9216971289,KRW
20211231,1301110006246,2021,120,별도요약재무제표,199744705000000,31993162000000,38704492000000,30970954000000,251112184000000,57918452000000,193193732000000,897514000000,29.9794674498,KRW
20221231,1301110006246,2022,110,연결요약재무제표,302231360000000,43376630000000,46440474000000,55654077000000,448424507000000,93674903000000,354749604000000,897514000000,26.4059217949,KRW
20221231,1301110006246,2022,120,별도요약재무제표,211867483000000,25319329000000,29691920000000,25418778000000,260083750000000,50667559000000,209416191000000,897514000000,24.1946712707,KRW
20231231,1301110006246,2023,110,연결요약재무제표,258935494000000,6566976000000,11006265000000,0,455905980000000,92228115000000,0,897514000000,100,KRW
20231231,1301110006246,2023,120,별도요약재무제표,170374090000000,-11526297000000,17531500000000,0,296857289000000,72069515000000,0,897514000000,100,KRW
