basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110028848,2019,110,연결요약재무제표,6394223581591,467798272893,798233552413,593123359795,13018488597582,7503358313766,5515130283816,49225905000,136.0504272362,KRW
20191231,1101110028848,2019,120,별도요약재무제표,1557606954646,222095779954,945562075852,705956104999,7265903910527,3494702199945,3771201710582,49225905000,92.6681325515,KRW
20201231,1101110028848,2020,110,연결요약재무제표,4769279391849,88483188736,-118475194794,-69137654789,12769110974270,7711856252229,5057254722041,49225905000,152.4909595441,KRW
20201231,1101110028848,2020,120,별도요약재무제표,1459802055854,126800778307,188222098004,214085442439,7535083633686,3928791406098,3606292227588,49225905000,108.9426801312,KRW
20211231,1101110028848,2021,110,연결요약재무제표,6316435934254,517400647833,517574567042,388866619073,13644510517083,7882059338197,5762451178886,49225905000,136.7830996482,KRW
20211231,1101110028848,2021,120,별도요약재무제표,1671594565275,261518611325,226226610266,218625609696,7721030611590,3960130087129,3760900524461,49225905000,105.2973898504,KRW
20221231,1101110028848,2022,110,연결요약재무제표,7812755198909,645448993543,521874825260,547639875232,14348412322688,8096632950057,6251779372631,49225905000,129.5092559648,KRW
20221231,1101110028848,2022,120,별도요약재무제표,1865707316112,348026286461,294941948140,247588340877,8345250727511,4385916580004,3959334147507,49225905000,110.7740952545,KRW
20231231,1101110028848,2023,110,연결요약재무제표,6357088542148,639780613579,453216280859,0,14751983355128,8411994526638,0,49225905000,100,KRW
20231231,1101110028848,2023,120,별도요약재무제표,1911758589480,276595294123,262402145071,0,8606939800934,4569118688004,0,49225905000,100,KRW
