basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101116417805,2019,110,연결요약재무제표,2023296057252,327588745357,308109119141,220467907564,2452307263966,784763985498,1667543278468,19768066000,47.0610865476,KRW
20191231,1101116417805,2019,120,별도요약재무제표,732834533701,107773817760,103500480698,76477931992,1190809872307,443631853493,747178018814,19768066000,59.3743180771,KRW
20201231,1101116417805,2020,110,연결요약재무제표,2229819933633,376122012796,397351014577,274562274378,2665406433687,767898167759,1897508265928,19768066000,40.4687653565,KRW
20201231,1101116417805,2020,120,별도요약재무제표,769223241057,114170089934,107951824899,75658936781,1206951233112,398318165477,808633067635,19768066000,49.2582088736,KRW
20211231,1101116417805,2021,110,연결요약재무제표,2355499705531,372909907402,379047289876,263661820679,3120428660902,827878188583,2292550472319,19768066000,36.1116668348,KRW
20211231,1101116417805,2021,120,별도요약재무제표,807371801173,130936069396,124590054728,92263401781,1268634936224,399646797939,868988138285,19768066000,45.9899025466,KRW
20221231,1101116417805,2022,110,연결요약재무제표,2873246771346,466654503027,486728116441,398308074971,3371683914220,732455081520,2639228832700,19768066000,27.7526174481,KRW
20221231,1101116417805,2022,120,별도요약재무제표,939112571506,140231959471,140016467565,104657276209,1228500765566,276810739673,951690025893,19768066000,29.086228934,KRW
20231231,1101116417805,2023,110,연결요약재무제표,2912358051475,492391149504,520017907423,0,3521385127842,565908178494,0,19768066000,100,KRW
20231231,1101116417805,2023,120,별도요약재무제표,1069993639125,168796749578,273628992107,0,1334301240259,179527184857,0,19768066000,100,KRW
