basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101114594952,2019,110,연결요약재무제표,19062879818284,150652508829,282102598156,223836243277,21094758779809,10888018088222,10206740691587,0,106.6747791212,KRW
20191231,1101114594952,2019,120,별도요약재무제표,13154820005943,251140472472,351411322517,291146048038,15251432103260,6651541180369,8599890922891,0,77.3444830872,KRW
20201231,1101114594952,2020,110,연결요약재무제표,22033009980862,237151679441,621795811695,362572647516,22340423719351,11843844819721,10496578899630,0,112.835285982,KRW
20201231,1101114594952,2020,120,별도요약재무제표,14213755649917,294969300216,803918922839,560701080651,15577108437261,6458659522598,9118448914663,0,70.8306816548,KRW
20211231,1101114594952,2021,110,연결요약재무제표,24932680935679,316790902379,2113696722245,1589074047501,31242082400946,18841829087123,12400253313823,0,151.9471305164,KRW
20211231,1101114594952,2021,120,별도요약재무제표,15053811467511,265917890742,990786004126,774712462229,19141750840072,9693394883368,9448355956704,0,102.5934557058,KRW
20221231,1101114594952,2022,110,연결요약재무제표,29332413845888,135651681895,1252483876283,1007725545174,33201721508714,19718359591026,13483361917688,0,146.2421591247,KRW
20221231,1101114594952,2022,120,별도요약재무제표,15486823898928,258855639268,1381769676556,1050709937290,20129787392332,9708728742118,10421058650214,0,93.1645149307,KRW
20231231,1101114594952,2023,110,연결요약재무제표,29472247894459,-46935431343,-212288879162,0,33443865586475,19609634816186,0,139379095000,100,KRW
20231231,1101114594952,2023,120,별도요약재무제표,15141873348174,187950656957,301035297636,0,20127035599727,9665534165743,0,139379095000,100,KRW
