basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110007909,2019,110,연결요약재무제표,17278792000000,859667000000,798931000000,573331000000,18226972000000,9511990000000,8714982000000,557273000000,109.1452627211,KRW
20191231,1101110007909,2019,120,별도요약재무제표,10014658000000,370564000000,364921000000,270958000000,11302918000000,5717111000000,5585807000000,557273000000,102.3506719799,KRW
20201231,1101110007909,2020,110,연결요약재무제표,16970859000000,548972000000,395574000000,227697000000,17939274000000,9172896000000,8766378000000,557273000000,104.6372401464,KRW
20201231,1101110007909,2020,120,별도요약재무제표,9320113000000,236363000000,143999000000,102477000000,11905200000000,6360125000000,5545075000000,557273000000,114.6986289635,KRW
20211231,1101110007909,2021,110,연결요약재무제표,18065534000000,753504000000,854101000000,554377000000,19637264000000,10207973000000,9429291000000,562052000000,108.2581182403,KRW
20211231,1101110007909,2021,120,별도요약재무제표,10246315000000,305119000000,416041000000,285490000000,13291471000000,7285634000000,6005837000000,562052000000,121.3092196808,KRW
20221231,1101110007909,2022,110,연결요약재무제표,21239082000000,574902000000,753815000000,470876000000,20911708000000,10987431000000,9924277000000,562052000000,110.7126594713,KRW
20221231,1101110007909,2022,120,별도요약재무제표,11978479000000,346342000000,503694000000,346572000000,13738416000000,7344179000000,6394237000000,562052000000,114.856221313,KRW
20231231,1101110007909,2023,110,연결요약재무제표,29651357000000,785430000000,939545000000,0,23714495000000,13258980000000,0,562052000000,100,KRW
20231231,1101110007909,2023,120,별도요약재무제표,15778844000000,340527000000,481696000000,0,14948565000000,8258636000000,0,562052000000,100,KRW
