basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1201110001743,2019,110,연결요약재무제표,20512590431956,331297506282,51650679738,25613298147,34366332508379,17132592383734,17233740124645,667228925000,99.4130830558,KRW
20191231,1201110001743,2019,120,별도요약재무제표,18073859360410,278437250325,49590580181,32468233310,32025224294707,15086071070950,16939153223757,667228925000,89.0603613514,KRW
20201231,1201110001743,2020,110,연결요약재무제표,18023398349630,73032437891,-503913957392,-440119749803,34845040108141,18152008766582,16693031341559,667228925000,108.7400388532,KRW
20201231,1201110001743,2020,120,별도요약재무제표,15568026955252,41659285226,-516526791444,-455916769443,32452360725557,16049822779590,16402537945967,667228925000,97.8496305417,KRW
20211231,1201110001743,2021,110,연결요약재무제표,22849920977857,2447503013134,2149117231890,1505154568208,37042298365641,18781894205821,18260404159820,667228925000,102.855851609,KRW
20211231,1201110001743,2021,120,별도요약재무제표,19991486622646,2299799233395,1944031012239,1382033670840,34181265225130,16414881456385,17766383768745,667228925000,92.392924019,KRW
20221231,1201110001743,2022,110,연결요약재무제표,27340601237802,1616457125289,1348558027452,1038192930309,36800955829773,17672412852352,19128542977421,667228925000,92.3876579268,KRW
20221231,1201110001743,2022,120,별도요약재무제표,23666889994897,1464738464719,1260665612037,969789790722,34063791352307,15521420416319,18542370935988,667228925000,83.7078519781,KRW
20231231,1201110001743,2023,110,연결요약재무제표,25914760456167,798325068073,532075675793,0,35218841930044,15722841602022,0,667228925000,100,KRW
20231231,1201110001743,2023,120,별도요약재무제표,21609416275152,650384176039,462468668722,0,32449677080119,13620741051887,0,667228925000,100,KRW
