basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110085450,2019,110,연결요약재무제표,105746422000000,0,4163766000000,0,194512220000000,118146466000000,76365754000000,1488993000000,154.7113199458,KRW
20191231,1101110085450,2019,120,별도요약재무제표,49155693000000,1580164000000,3189893000000,2767666000000,73758825000000,20238210000000,53520615000000,1488993000000,37.8138592017,KRW
20201231,1101110085450,2020,110,연결요약재무제표,103997601000000,2394671000000,2093256000000,0,209344212000000,133003242000000,76340970000000,1488993000000,174.2226251513,KRW
20201231,1101110085450,2020,120,별도요약재무제표,50661002000000,768626000000,526843000000,526975000000,78252289000000,25063780000000,53188509000000,1488993000000,47.122546714,KRW
20211231,1101110085450,2021,110,연결요약재무제표,117610626000000,6678949000000,7959562000000,0,233946415000000,151330626000000,82615789000000,1488993000000,183.173976587,KRW
20211231,1101110085450,2021,120,별도요약재무제표,55605120000000,661623000000,989847000000,645526000000,79758300000000,27083288000000,52675012000000,1488993000000,51.4158174278,KRW
20221231,1101110085450,2022,110,연결요약재무제표,142527535000000,9819769000000,10947943000000,0,255742462000000,164845917000000,90896545000000,1488993000000,181.3555366708,KRW
20221231,1101110085450,2022,120,별도요약재무제표,65308350000000,2828569000000,4175475000000,3701958000000,83412349000000,27656534000000,55755815000000,1488993000000,49.6029589021,KRW
20231231,1101110085450,2023,110,연결요약재무제표,162663579000000,15126901000000,17618662000000,0,282463355000000,180653915000000,0,1488993000000,100,KRW
20231231,1101110085450,2023,120,별도요약재무제표,78033758000000,6670971000000,9675202000000,0,85064635000000,24277466000000,0,1488993000000,100,KRW
