basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,097950,KR7097950000,CJ제일제당,KOSPI,324000,4000,1.25,321000,324000,317500,24175,7794168000,15054186,4877556264000
20231227,097950,KR7097950000,CJ제일제당,KOSPI,320000,0,0,320000,320000,315500,9624,3061103500,15054186,4817339520000
20231226,097950,KR7097950000,CJ제일제당,KOSPI,320000,0,0,323000,323000,317000,15053,4807982000,15054186,4817339520000
20231222,097950,KR7097950000,CJ제일제당,KOSPI,320000,500,.16,320500,321000,315500,12591,4015365000,15054186,4817339520000
20231221,097950,KR7097950000,CJ제일제당,KOSPI,319500,2000,.63,317500,319500,315500,18612,5917125000,15054186,4809812427000
20231220,097950,KR7097950000,CJ제일제당,KOSPI,317500,1000,.32,318500,319500,315500,21307,6760029500,15054186,4779704055000
20231219,097950,KR7097950000,CJ제일제당,KOSPI,316500,0,0,315000,319000,315000,10026,3178174500,15054186,4764649869000
20231218,097950,KR7097950000,CJ제일제당,KOSPI,316500,-2000,-.63,315500,323500,314500,13379,4247833500,15054186,4764649869000
20231215,097950,KR7097950000,CJ제일제당,KOSPI,318500,0,0,316000,320000,313000,34572,10942670000,15054186,4794758241000
20231214,097950,KR7097950000,CJ제일제당,KOSPI,318500,0,0,316500,324500,316500,30651,9786793500,15054186,4794758241000
20231213,097950,KR7097950000,CJ제일제당,KOSPI,318500,-2000,-.62,324500,324500,316500,17953,5751648500,15054186,4794758241000
20231212,097950,KR7097950000,CJ제일제당,KOSPI,320500,-500,-.16,324500,326000,320500,22635,7319827000,15054186,4824866613000
20231211,097950,KR7097950000,CJ제일제당,KOSPI,321000,4500,1.42,318500,322500,316000,16272,5213022500,15054186,4832393706000
20231208,097950,KR7097950000,CJ제일제당,KOSPI,316500,1500,.48,317000,318500,311500,19362,6110877000,15054186,4764649869000
20231207,097950,KR7097950000,CJ제일제당,KOSPI,315000,-5000,-1.56,318500,322500,314500,17051,5410185000,15054186,4742068590000
20231206,097950,KR7097950000,CJ제일제당,KOSPI,320000,-500,-.16,324000,326500,320000,24987,8075098000,15054186,4817339520000
20231205,097950,KR7097950000,CJ제일제당,KOSPI,320500,5000,1.58,314000,324000,312000,19818,6362628000,15054186,4824866613000
20231204,097950,KR7097950000,CJ제일제당,KOSPI,315500,4000,1.28,313500,319000,308000,20138,6360071000,15054186,4749595683000
20231201,097950,KR7097950000,CJ제일제당,KOSPI,311500,2500,.81,309000,320500,308500,22661,7090861000,15054186,4689378939000
20231130,097950,KR7097950000,CJ제일제당,KOSPI,309000,-6500,-2.06,314500,317500,309000,53808,16732983000,15054186,4651743474000
20231129,097950,KR7097950000,CJ제일제당,KOSPI,315500,-2500,-.79,316000,320000,315500,17443,5532410000,15054186,4749595683000
20231128,097950,KR7097950000,CJ제일제당,KOSPI,318000,-1500,-.47,322000,324500,317500,18774,5997357000,15054186,4787231148000
20231127,097950,KR7097950000,CJ제일제당,KOSPI,319500,0,0,319500,322500,319000,15867,5081799000,15054186,4809812427000
20231124,097950,KR7097950000,CJ제일제당,KOSPI,319500,-4500,-1.39,322500,324000,319000,14316,4593751000,15054186,4809812427000
20231123,097950,KR7097950000,CJ제일제당,KOSPI,324000,-2000,-.61,322500,327000,321000,22336,7221213500,15054186,4877556264000
20231122,097950,KR7097950000,CJ제일제당,KOSPI,326000,500,.15,322500,327500,322000,35122,11435987750,15054186,4907664636000
20231121,097950,KR7097950000,CJ제일제당,KOSPI,325500,5500,1.72,323000,326500,320000,40664,13208131000,15054186,4900137543000
20231120,097950,KR7097950000,CJ제일제당,KOSPI,320000,1000,.31,319000,322500,315500,22257,7121610500,15054186,4817339520000
20231117,097950,KR7097950000,CJ제일제당,KOSPI,319000,500,.16,320000,322500,317000,30129,9646429500,15054186,4802285334000
20231116,097950,KR7097950000,CJ제일제당,KOSPI,318500,-1000,-.31,317500,322500,316000,20852,6653184000,15054186,4794758241000
20231115,097950,KR7097950000,CJ제일제당,KOSPI,319500,1000,.31,320500,322000,315500,38182,12163812000,15054186,4809812427000
20231114,097950,KR7097950000,CJ제일제당,KOSPI,318500,11500,3.75,308000,320000,307000,83086,26306378500,15054186,4794758241000
20231113,097950,KR7097950000,CJ제일제당,KOSPI,307000,2500,.82,306500,312500,305000,39905,12321020500,15054186,4621635102000
20231110,097950,KR7097950000,CJ제일제당,KOSPI,304500,1000,.33,301500,306500,300500,15022,4574967500,15054186,4583999637000
20231109,097950,KR7097950000,CJ제일제당,KOSPI,303500,2000,.66,299500,305500,298000,25142,7634755500,15054186,4568945451000
20231108,097950,KR7097950000,CJ제일제당,KOSPI,301500,7000,2.38,300000,303000,294500,26614,7994687000,15054186,4538837079000
20231107,097950,KR7097950000,CJ제일제당,KOSPI,294500,-5000,-1.67,297000,301000,291500,33762,9971000500,15054186,4433457777000
20231106,097950,KR7097950000,CJ제일제당,KOSPI,299500,10000,3.45,290000,299500,289500,24201,7123302500,15054186,4508728707000
20231103,097950,KR7097950000,CJ제일제당,KOSPI,289500,2500,.87,290000,291000,285500,14013,4041393500,15054186,4358186847000
20231102,097950,KR7097950000,CJ제일제당,KOSPI,287000,-2000,-.69,289500,293000,286000,21416,6159721000,15054186,4320551382000
20231101,097950,KR7097950000,CJ제일제당,KOSPI,289000,6500,2.3,282500,292000,282500,25386,7304865500,15054186,4350659754000
20231031,097950,KR7097950000,CJ제일제당,KOSPI,282500,1500,.53,283500,287500,280500,15322,4337234000,15054186,4252807545000
20231030,097950,KR7097950000,CJ제일제당,KOSPI,281000,2000,.72,276000,282500,276000,16031,4485550500,15054186,4230226266000
20231027,097950,KR7097950000,CJ제일제당,KOSPI,279000,2500,.9,277000,281000,274500,19010,5294464000,15054186,4200117894000
20231026,097950,KR7097950000,CJ제일제당,KOSPI,276500,-4500,-1.6,280000,283000,275500,18751,5219016500,15054186,4162482429000
20231025,097950,KR7097950000,CJ제일제당,KOSPI,281000,5500,2,275500,284000,275500,21051,5912970500,15054186,4230226266000
20231024,097950,KR7097950000,CJ제일제당,KOSPI,275500,500,.18,277500,278500,267500,32615,8853016500,15054186,4147428243000
20231023,097950,KR7097950000,CJ제일제당,KOSPI,275000,1000,.36,276500,278000,271500,19939,5490091500,15054186,4139901150000
20231020,097950,KR7097950000,CJ제일제당,KOSPI,274000,-8500,-3.01,282000,282000,274000,30251,8331841500,15054186,4124846964000
20231019,097950,KR7097950000,CJ제일제당,KOSPI,282500,1000,.36,279500,286500,277000,21040,5939224500,15054186,4252807545000
20231018,097950,KR7097950000,CJ제일제당,KOSPI,281500,0,0,281500,283500,279500,11555,3254715000,15054186,4237753359000
20231017,097950,KR7097950000,CJ제일제당,KOSPI,281500,-2000,-.71,286500,288000,281000,15702,4449252000,15054186,4237753359000
20231016,097950,KR7097950000,CJ제일제당,KOSPI,283500,4000,1.43,279000,285000,279000,28111,7965538500,15054186,4267861731000
20231013,097950,KR7097950000,CJ제일제당,KOSPI,279500,500,.18,278000,281500,277500,14975,4186351000,15054186,4207644987000
20231012,097950,KR7097950000,CJ제일제당,KOSPI,279000,-2500,-.89,283500,284000,278500,34387,9631353000,15054186,4200117894000
20231011,097950,KR7097950000,CJ제일제당,KOSPI,281500,500,.18,284000,284500,277000,43937,12337211500,15054186,4237753359000
20231010,097950,KR7097950000,CJ제일제당,KOSPI,281000,-3500,-1.23,289500,294000,279500,42829,12166997000,15054186,4230226266000
20231006,097950,KR7097950000,CJ제일제당,KOSPI,284500,-6500,-2.23,291000,291000,283000,28663,8181888000,15054186,4282915917000
20231005,097950,KR7097950000,CJ제일제당,KOSPI,291000,-2000,-.68,293500,295000,289000,24087,7041648500,15054186,4380768126000
20231004,097950,KR7097950000,CJ제일제당,KOSPI,293000,-14000,-4.56,306500,310000,291000,41064,12215705000,15054186,4410876498000
20230927,097950,KR7097950000,CJ제일제당,KOSPI,307000,0,0,305000,309000,300500,26288,8053890500,15054186,4621635102000
20230926,097950,KR7097950000,CJ제일제당,KOSPI,307000,7500,2.5,296500,310500,295000,58554,18026047500,15054186,4621635102000
