basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,006360,KR7006360002,GS건설,KOSPI,15020,20,.13,14840,15120,14660,730385,10898500360,85581490,1285433979800
20231227,006360,KR7006360002,GS건설,KOSPI,15000,-970,-6.07,15720,15810,14820,1606488,24306426470,85581490,1283722350000
20231226,006360,KR7006360002,GS건설,KOSPI,15970,490,3.17,15480,16020,15360,910251,14364492030,85581490,1366736395300
20231222,006360,KR7006360002,GS건설,KOSPI,15480,-50,-.32,15530,15580,15440,341681,5299104850,85581490,1324801465200
20231221,006360,KR7006360002,GS건설,KOSPI,15530,20,.13,15480,15570,15390,232360,3597166610,85581490,1329080539700
20231220,006360,KR7006360002,GS건설,KOSPI,15510,10,.06,15550,15650,15470,354869,5517308280,85581490,1327368909900
20231219,006360,KR7006360002,GS건설,KOSPI,15500,30,.19,15340,15610,15200,482063,7436199500,85581490,1326513095000
20231218,006360,KR7006360002,GS건설,KOSPI,15470,-270,-1.72,15720,15740,15270,454006,7017503420,85581490,1323945650300
20231215,006360,KR7006360002,GS건설,KOSPI,15740,100,.64,15700,16040,15690,456496,7217009650,85581490,1347052652600
20231214,006360,KR7006360002,GS건설,KOSPI,15640,60,.39,15930,15950,15640,726713,11449903320,85581490,1338494503600
20231213,006360,KR7006360002,GS건설,KOSPI,15580,-270,-1.7,15850,15920,15550,315575,4962751150,85581490,1333359614200
20231212,006360,KR7006360002,GS건설,KOSPI,15850,310,1.99,15570,16020,15510,599635,9479044430,85581490,1356466616500
20231211,006360,KR7006360002,GS건설,KOSPI,15540,-360,-2.26,16010,16010,15220,923961,14298521190,85581490,1329936354600
20231208,006360,KR7006360002,GS건설,KOSPI,15900,-10,-.06,16060,16110,15690,645884,10250228400,85581490,1360745691000
20231207,006360,KR7006360002,GS건설,KOSPI,15910,-230,-1.43,16040,16140,15870,386588,6177683540,85581490,1361601505900
20231206,006360,KR7006360002,GS건설,KOSPI,16140,120,.75,16070,16250,15890,381314,6150771010,85581490,1381285248600
20231205,006360,KR7006360002,GS건설,KOSPI,16020,-220,-1.35,16110,16220,15930,496099,7977793860,85581490,1371015469800
20231204,006360,KR7006360002,GS건설,KOSPI,16240,70,.43,16170,16380,16030,330056,5348155140,85581490,1389843397600
