basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,051910,KR7051910008,LG화학,KOSPI,499000,13000,2.67,488000,499000,483500,199695,98317177000,70592343,35225579157000
20231227,051910,KR7051910008,LG화학,KOSPI,486000,-4500,-.92,490500,493000,483000,202496,98653559000,70592343,34307878698000
20231226,051910,KR7051910008,LG화학,KOSPI,490500,500,.1,494500,499500,485500,160900,79036495000,70592343,34625544241500
20231222,051910,KR7051910008,LG화학,KOSPI,490000,-5000,-1.01,498000,499000,490000,140767,69327166000,70592343,34590248070000
20231221,051910,KR7051910008,LG화학,KOSPI,495000,-9000,-1.79,501000,504000,493500,206883,102751887000,70592343,34943209785000
20231220,051910,KR7051910008,LG화학,KOSPI,504000,2000,.4,502000,507000,501000,197344,99497339000,70592343,35578540872000
20231219,051910,KR7051910008,LG화학,KOSPI,502000,4000,.8,497000,502000,489000,204428,101803319500,70592343,35437356186000
20231218,051910,KR7051910008,LG화학,KOSPI,498000,5000,1.01,495000,498500,489000,289001,142971496000,70592343,35154986814000
20231215,051910,KR7051910008,LG화학,KOSPI,493000,29000,6.25,469500,496500,469000,615510,300807997500,70592343,34802025099000
20231214,051910,KR7051910008,LG화학,KOSPI,464000,4000,.87,469000,471000,459500,375683,174291085500,70592343,32754847152000
20231213,051910,KR7051910008,LG화학,KOSPI,460000,-12000,-2.54,467500,469000,458500,207659,95931583000,70592343,32472477780000
20231212,051910,KR7051910008,LG화학,KOSPI,472000,-3500,-.74,476500,481500,470000,188152,89013369500,70592343,33319585896000
20231211,051910,KR7051910008,LG화학,KOSPI,475500,-3000,-.63,477500,480000,471000,194422,92337322500,70592343,33566659096500
20231208,051910,KR7051910008,LG화학,KOSPI,478500,10000,2.13,475000,483000,473000,153815,73632583500,70592343,33778436125500
20231207,051910,KR7051910008,LG화학,KOSPI,468500,-2500,-.53,471000,477000,466000,173904,81719144000,70592343,33072512695500
20231206,051910,KR7051910008,LG화학,KOSPI,471000,0,0,471500,477500,467000,206370,97528542000,70592343,33248993553000
20231205,051910,KR7051910008,LG화학,KOSPI,471000,-2000,-.42,469000,476500,465500,218525,102982443500,70592343,33248993553000
20231204,051910,KR7051910008,LG화학,KOSPI,473000,-13500,-2.77,485000,491000,471000,338110,161108952000,70592343,33390178239000
20231201,051910,KR7051910008,LG화학,KOSPI,486500,-14500,-2.89,499500,501000,485500,299762,146734513500,70592343,34343174869500
20231130,051910,KR7051910008,LG화학,KOSPI,501000,-3000,-.6,499000,506000,498000,287538,144000447500,70592343,35366763843000
20231129,051910,KR7051910008,LG화학,KOSPI,504000,0,0,507000,511000,495500,326444,164036368500,70592343,35578540872000
20231128,051910,KR7051910008,LG화학,KOSPI,504000,-2000,-.4,509000,517000,502000,195567,99343457000,70592343,35578540872000
