basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,005490,KR7005490008,POSCO홀딩스,KOSPI,499500,7000,1.42,495500,502000,493000,560329,278896734500,84571230,42243329385000
20231227,005490,KR7005490008,POSCO홀딩스,KOSPI,492500,19000,4.01,477500,508000,477500,1346438,668377624500,84571230,41651330775000
20231226,005490,KR7005490008,POSCO홀딩스,KOSPI,473500,-7000,-1.46,474500,481500,471500,744558,353311869500,84571230,40044477405000
20231222,005490,KR7005490008,POSCO홀딩스,KOSPI,480500,-6000,-1.23,490500,492500,480000,459588,222761843500,84571230,40636476015000
20231221,005490,KR7005490008,POSCO홀딩스,KOSPI,486500,-9500,-1.92,488500,499500,481500,736449,360795904000,84571230,41143903395000
20231220,005490,KR7005490008,POSCO홀딩스,KOSPI,496000,0,0,499500,501000,495000,417055,207126939000,84571230,41947330080000
20231219,005490,KR7005490008,POSCO홀딩스,KOSPI,496000,6500,1.33,491500,499000,482000,556757,273527630500,84571230,41947330080000
20231218,005490,KR7005490008,POSCO홀딩스,KOSPI,489500,9500,1.98,493500,498000,485500,857346,422124880000,84571230,41397617085000
20231215,005490,KR7005490008,POSCO홀딩스,KOSPI,480000,19000,4.12,469500,485000,468500,1037003,496278799000,84571230,40594190400000
20231214,005490,KR7005490008,POSCO홀딩스,KOSPI,461000,8000,1.77,463500,468000,457000,706380,326621808000,84571230,38987337030000
20231213,005490,KR7005490008,POSCO홀딩스,KOSPI,453000,-15000,-3.21,460500,461000,451000,556213,253365146000,84571230,38310767190000
20231212,005490,KR7005490008,POSCO홀딩스,KOSPI,468000,1000,.21,464000,469500,461500,383666,178394845000,84571230,39579335640000
20231211,005490,KR7005490008,POSCO홀딩스,KOSPI,467000,-4500,-.95,474500,477500,467000,488730,230264510500,84571230,39494764410000
20231208,005490,KR7005490008,POSCO홀딩스,KOSPI,471500,24500,5.48,452500,473500,451500,692298,320379516000,84571230,39875334945000
20231207,005490,KR7005490008,POSCO홀딩스,KOSPI,447000,-4500,-1,454000,458500,438000,758013,336831130000,84571230,37803339810000
20231206,005490,KR7005490008,POSCO홀딩스,KOSPI,451500,-9000,-1.95,459000,461000,451000,628444,285991865500,84571230,38183910345000
20231205,005490,KR7005490008,POSCO홀딩스,KOSPI,460500,-14500,-3.05,469500,476500,460000,536732,250784353500,84571230,38945051415000
20231204,005490,KR7005490008,POSCO홀딩스,KOSPI,475000,1000,.21,474000,479000,464000,881284,414160251500,84571230,40171334250000
20231201,005490,KR7005490008,POSCO홀딩스,KOSPI,474000,-9000,-1.86,483000,483000,469500,524432,249436790500,84571230,40086763020000
20231130,005490,KR7005490008,POSCO홀딩스,KOSPI,483000,0,0,481000,488500,477500,562014,271171034000,84571230,40847904090000
20231129,005490,KR7005490008,POSCO홀딩스,KOSPI,483000,5000,1.05,480000,485500,474000,537203,257440359000,84571230,40847904090000
20231128,005490,KR7005490008,POSCO홀딩스,KOSPI,478000,10000,2.14,468000,478000,467500,417140,197186800000,84571230,40425047940000
20231127,005490,KR7005490008,POSCO홀딩스,KOSPI,468000,-4500,-.95,473000,475000,466000,328044,154077478000,84571230,39579335640000
20231124,005490,KR7005490008,POSCO홀딩스,KOSPI,472500,-2500,-.53,476500,481500,471500,371597,176867839000,84571230,39959906175000
20231123,005490,KR7005490008,POSCO홀딩스,KOSPI,475000,3000,.64,470000,475000,467500,295399,139556142000,84571230,40171334250000
20231122,005490,KR7005490008,POSCO홀딩스,KOSPI,472000,-2000,-.42,468500,475500,467500,314942,148277779500,84571230,39917620560000
20231121,005490,KR7005490008,POSCO홀딩스,KOSPI,474000,2000,.42,474000,477000,466500,418594,197951039500,84571230,40086763020000
20231120,005490,KR7005490008,POSCO홀딩스,KOSPI,472000,8500,1.83,463500,477000,459500,462658,218091572500,84571230,39917620560000
20231117,005490,KR7005490008,POSCO홀딩스,KOSPI,463500,-3500,-.75,459500,465000,453000,499297,228785064000,84571230,39198765105000
20231116,005490,KR7005490008,POSCO홀딩스,KOSPI,467000,-7000,-1.48,470000,475000,465500,477203,224014158500,84571230,39494764410000
20231115,005490,KR7005490008,POSCO홀딩스,KOSPI,474000,2500,.53,494000,494000,468500,787775,379225120000,84571230,40086763020000
20231114,005490,KR7005490008,POSCO홀딩스,KOSPI,471500,19500,4.31,459000,481000,458500,892775,420871301500,84571230,39875334945000
20231113,005490,KR7005490008,POSCO홀딩스,KOSPI,452000,4500,1.01,455000,462500,450000,548925,249567861500,84571230,38226195960000
20231110,005490,KR7005490008,POSCO홀딩스,KOSPI,447500,-13000,-2.82,450000,455500,445000,483230,217280524000,84571230,37845625425000
20231109,005490,KR7005490008,POSCO홀딩스,KOSPI,460500,4000,.88,460000,466000,444000,798154,363147386500,84571230,38945051415000
20231108,005490,KR7005490008,POSCO홀딩스,KOSPI,456500,-8000,-1.72,456500,474000,453500,938184,434294242500,84571230,38606766495000
20231107,005490,KR7005490008,POSCO홀딩스,KOSPI,464500,-57500,-11.02,510000,511000,452000,2357481,1129464084000,84571230,39283336335000
20231106,005490,KR7005490008,POSCO홀딩스,KOSPI,522000,84000,19.18,471000,527000,462000,3341452,1669369109500,84571230,44146182060000
20231103,005490,KR7005490008,POSCO홀딩스,KOSPI,438000,10500,2.46,444000,444000,428000,872168,381314190000,84571230,37042198740000
20231102,005490,KR7005490008,POSCO홀딩스,KOSPI,427500,25000,6.21,413500,427500,413000,815086,343281661500,84571230,36154200825000
20231101,005490,KR7005490008,POSCO홀딩스,KOSPI,402500,-9000,-2.19,412500,418500,399500,883988,360322667000,84571230,34039920075000
20231031,005490,KR7005490008,POSCO홀딩스,KOSPI,411500,-21500,-4.97,433000,433500,406000,1155827,479309619000,84571230,34801061145000
20231030,005490,KR7005490008,POSCO홀딩스,KOSPI,433000,10000,2.36,417500,433000,416500,743725,316366602580,84571230,36619342590000
20231027,005490,KR7005490008,POSCO홀딩스,KOSPI,423000,1500,.36,423000,435000,415500,1199624,508769165500,84571230,35773630290000
20231026,005490,KR7005490008,POSCO홀딩스,KOSPI,421500,-24000,-5.39,424500,435000,419000,1676774,715441418039,84571230,35646773445000
20231025,005490,KR7005490008,POSCO홀딩스,KOSPI,445500,-28500,-6.01,476500,476500,443000,1237237,561210961500,84571230,37676482965000
20231024,005490,KR7005490008,POSCO홀딩스,KOSPI,474000,21000,4.64,455000,483000,441500,1529774,703673858440,84571230,40086763020000
20231023,005490,KR7005490008,POSCO홀딩스,KOSPI,453000,0,0,452000,457500,442500,1049913,474237163000,84571230,38310767190000
20231020,005490,KR7005490008,POSCO홀딩스,KOSPI,453000,-24000,-5.03,469000,475000,448000,2322796,1065682094500,84571230,38310767190000
