basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,004370,KR7004370003,농심,KOSPI,407000,0,0,408500,409500,406000,9643,3931972000,6082642,2475635294000
20231227,004370,KR7004370003,농심,KOSPI,407000,-2500,-.61,408500,408500,403000,13302,5387424000,6082642,2475635294000
20231226,004370,KR7004370003,농심,KOSPI,409500,3000,.74,409000,409500,404000,22187,9058353000,6082642,2490841899000
20231222,004370,KR7004370003,농심,KOSPI,406500,-2500,-.61,408500,409000,405500,7735,3149217500,6082642,2472593973000
20231221,004370,KR7004370003,농심,KOSPI,409000,-500,-.12,410000,410000,406500,9498,3873099000,6082642,2487800578000
20231220,004370,KR7004370003,농심,KOSPI,409500,-1000,-.24,412500,412500,407000,17153,7013534000,6082642,2490841899000
20231219,004370,KR7004370003,농심,KOSPI,410500,6500,1.61,403000,410500,402000,19792,8057559000,6082642,2496924541000
20231218,004370,KR7004370003,농심,KOSPI,404000,3000,.75,401000,404000,400500,10880,4380277500,6082642,2457387368000
20231215,004370,KR7004370003,농심,KOSPI,401000,-5000,-1.23,403000,405500,400000,25176,10105869000,6082642,2439139442000
20231214,004370,KR7004370003,농심,KOSPI,406000,-2500,-.61,412000,412000,402500,36822,14911544500,6082642,2469552652000
20231213,004370,KR7004370003,농심,KOSPI,408500,2500,.62,405500,412000,404500,21093,8649683500,6082642,2484759257000
20231212,004370,KR7004370003,농심,KOSPI,406000,-3500,-.85,408000,411500,405000,27377,11150168000,6082642,2469552652000
20231211,004370,KR7004370003,농심,KOSPI,409500,9500,2.38,400000,410000,399500,24965,10139714000,6082642,2490841899000
20231208,004370,KR7004370003,농심,KOSPI,400000,-3000,-.74,404000,404500,398500,22937,9185553000,6082642,2433056800000
20231207,004370,KR7004370003,농심,KOSPI,403000,-7000,-1.71,408500,410000,402500,15116,6107057500,6082642,2451304726000
20231206,004370,KR7004370003,농심,KOSPI,410000,4000,.99,408500,414000,407500,23178,9510940000,6082642,2493883220000
20231205,004370,KR7004370003,농심,KOSPI,406000,-500,-.12,405500,409000,403500,19343,7870719500,6082642,2469552652000
20231204,004370,KR7004370003,농심,KOSPI,406500,-3000,-.73,412000,412000,403000,27598,11219218500,6082642,2472593973000
20231201,004370,KR7004370003,농심,KOSPI,409500,4000,.99,400500,415500,400500,37247,15279334000,6082642,2490841899000
20231130,004370,KR7004370003,농심,KOSPI,405500,-5000,-1.22,410500,411000,404000,43988,17847714000,6082642,2466511331000
20231129,004370,KR7004370003,농심,KOSPI,410500,-8000,-1.91,419000,420000,406500,42617,17505713500,6082642,2496924541000
20231128,004370,KR7004370003,농심,KOSPI,418500,-6000,-1.41,425000,425500,418500,25979,10924763000,6082642,2545585677000
20231127,004370,KR7004370003,농심,KOSPI,424500,0,0,426000,428500,422000,19392,8230899500,6082642,2582081529000
20231124,004370,KR7004370003,농심,KOSPI,424500,-1500,-.35,427000,429000,422500,13821,5867757000,6082642,2582081529000
20231123,004370,KR7004370003,농심,KOSPI,426000,8000,1.91,420000,426000,419000,37234,15772029500,6082642,2591205492000
20231122,004370,KR7004370003,농심,KOSPI,418000,0,0,418000,422000,418000,25748,10799408500,6082642,2542544356000
20231121,004370,KR7004370003,농심,KOSPI,418000,-4500,-1.07,424500,424500,413000,53569,22356570500,6082642,2542544356000
20231120,004370,KR7004370003,농심,KOSPI,422500,-1000,-.24,423500,425000,421000,27821,11769671500,6082642,2569916245000
20231117,004370,KR7004370003,농심,KOSPI,423500,-5500,-1.28,431000,433500,421000,46593,19802993500,6082642,2575998887000
20231116,004370,KR7004370003,농심,KOSPI,429000,-13500,-3.05,443500,444500,428500,78537,34045535500,6082642,2609453418000
20231115,004370,KR7004370003,농심,KOSPI,442500,-42500,-8.76,484500,485500,440500,144762,64944736000,6082642,2691569085000
20231114,004370,KR7004370003,농심,KOSPI,485000,-3000,-.61,492500,493000,481000,16546,8036829000,6082642,2950081370000
20231113,004370,KR7004370003,농심,KOSPI,488000,7500,1.56,485500,490000,478000,12334,5995862500,6082642,2968329296000
20231110,004370,KR7004370003,농심,KOSPI,480500,500,.1,481500,486000,477000,9679,4666880500,6082642,2922709481000
20231109,004370,KR7004370003,농심,KOSPI,480000,8500,1.8,471500,489000,470500,16745,8042638000,6082642,2919668160000
20231108,004370,KR7004370003,농심,KOSPI,471500,1500,.32,479000,483500,467000,14075,6654492000,6082642,2867965703000
20231107,004370,KR7004370003,농심,KOSPI,470000,1000,.21,466000,484000,464000,15695,7447565000,6082642,2858841740000
20231106,004370,KR7004370003,농심,KOSPI,469000,10500,2.29,456500,469000,452000,16068,7386798000,6082642,2852759098000
20231103,004370,KR7004370003,농심,KOSPI,458500,-7000,-1.5,467000,468500,454000,14353,6586783000,6082642,2788891357000
20231102,004370,KR7004370003,농심,KOSPI,465500,-6000,-1.27,471500,473500,464500,11991,5611475500,6082642,2831469851000
20231101,004370,KR7004370003,농심,KOSPI,471500,27000,6.07,447500,473500,445000,30351,14115809500,6082642,2867965703000
20231031,004370,KR7004370003,농심,KOSPI,444500,-500,-.11,448500,454000,440500,13164,5876928500,6082642,2703734369000
20231030,004370,KR7004370003,농심,KOSPI,445000,4500,1.02,440500,446000,434000,7377,3269940000,6082642,2706775690000
20231027,004370,KR7004370003,농심,KOSPI,440500,-1500,-.34,449500,450000,436000,11062,4885059000,6082642,2679403801000
20231026,004370,KR7004370003,농심,KOSPI,442000,-2000,-.45,446500,453500,440000,15941,7090904500,6082642,2688527764000
20231025,004370,KR7004370003,농심,KOSPI,444000,6500,1.49,438000,452000,436500,15901,7084648500,6082642,2700693048000
20231024,004370,KR7004370003,농심,KOSPI,437500,3000,.69,439000,442000,431000,14376,6263851500,6082642,2661155875000
20231023,004370,KR7004370003,농심,KOSPI,434500,4000,.93,437000,440000,430500,15943,6948106000,6082642,2642907949000
20231020,004370,KR7004370003,농심,KOSPI,430500,-11000,-2.49,437000,441000,427000,21856,9415136500,6082642,2618577381000
20231019,004370,KR7004370003,농심,KOSPI,441500,-4000,-.9,442500,451500,438000,21635,9578462000,6082642,2685486443000
20231018,004370,KR7004370003,농심,KOSPI,445500,-6000,-1.33,451500,455500,443500,24570,10972913000,6082642,2709817011000
20231017,004370,KR7004370003,농심,KOSPI,451500,-11000,-2.38,466000,467500,450000,23508,10678276000,6082642,2746312863000
20231016,004370,KR7004370003,농심,KOSPI,462500,-2500,-.54,463000,467500,459500,13979,6477279000,6082642,2813221925000
20231013,004370,KR7004370003,농심,KOSPI,465000,1000,.22,462000,471500,462000,15219,7106801000,6082642,2828428530000
20231012,004370,KR7004370003,농심,KOSPI,464000,-4000,-.85,472500,472500,462000,18412,8564564000,6082642,2822345888000
20231011,004370,KR7004370003,농심,KOSPI,468000,-6000,-1.27,473000,481500,464000,25703,12028770000,6082642,2846676456000
20231010,004370,KR7004370003,농심,KOSPI,474000,-12000,-2.47,495500,500000,472000,30423,14626285000,6082642,2883172308000
20231006,004370,KR7004370003,농심,KOSPI,486000,10500,2.21,475500,495000,470000,26418,12814841000,6082642,2956164012000
20231005,004370,KR7004370003,농심,KOSPI,475500,-3000,-.63,474500,479000,467000,19948,9471910500,6082642,2892296271000
20231004,004370,KR7004370003,농심,KOSPI,478500,5500,1.16,470500,483500,463000,33655,16071598500,6082642,2910544197000
20230927,004370,KR7004370003,농심,KOSPI,473000,12500,2.71,457000,475000,451500,33125,15556768500,6082642,2877089666000
20230926,004370,KR7004370003,농심,KOSPI,460500,21500,4.9,437000,468000,436000,50404,23175837500,6082642,2801056641000
20230925,004370,KR7004370003,농심,KOSPI,439000,-1000,-.23,441000,442000,436500,9442,4144873500,6082642,2670279838000
20230922,004370,KR7004370003,농심,KOSPI,440000,4500,1.03,431000,444000,429000,21517,9452062000,6082642,2676362480000
20230921,004370,KR7004370003,농심,KOSPI,435500,-8500,-1.91,441000,446500,432500,14634,6402415000,6082642,2648990591000
20230920,004370,KR7004370003,농심,KOSPI,444000,-500,-.11,443500,448000,438000,15723,6980201000,6082642,2700693048000
20230919,004370,KR7004370003,농심,KOSPI,444500,3500,.79,438000,452500,437500,23976,10722960000,6082642,2703734369000
20230918,004370,KR7004370003,농심,KOSPI,441000,-3500,-.79,445000,446500,440500,12671,5613016000,6082642,2682445122000
20230915,004370,KR7004370003,농심,KOSPI,444500,0,0,447500,447500,440000,25603,11357432500,6082642,2703734369000
20230914,004370,KR7004370003,농심,KOSPI,444500,4000,.91,441000,445500,437000,14601,6477759500,6082642,2703734369000
20230913,004370,KR7004370003,농심,KOSPI,440500,-1000,-.23,440000,443000,437000,15078,6636924000,6082642,2679403801000
20230912,004370,KR7004370003,농심,KOSPI,441500,8000,1.85,436500,457000,435000,28742,12781545500,6082642,2685486443000
20230911,004370,KR7004370003,농심,KOSPI,433500,-5500,-1.25,439500,442000,430500,24504,10607072500,6082642,2636825307000
20230908,004370,KR7004370003,농심,KOSPI,439000,-3500,-.79,442500,446000,436000,15295,6728035000,6082642,2670279838000
20230907,004370,KR7004370003,농심,KOSPI,442500,-4500,-1.01,445500,450000,430000,15630,6909424500,6082642,2691569085000
20230906,004370,KR7004370003,농심,KOSPI,447000,-13500,-2.93,460000,460000,445000,18399,8269327500,6082642,2718940974000
20230905,004370,KR7004370003,농심,KOSPI,460500,10500,2.33,447500,461500,447500,55158,24739660397,6082642,2801056641000
20230904,004370,KR7004370003,농심,KOSPI,450000,-3000,-.66,449500,455000,446500,17497,7874832000,6082642,2737188900000
20230901,004370,KR7004370003,농심,KOSPI,453000,-5500,-1.2,459000,462000,448500,17200,7822907000,6082642,2755436826000
20230831,004370,KR7004370003,농심,KOSPI,458500,4000,.88,454000,459000,449000,12953,5903263500,6082642,2788891357000
20230830,004370,KR7004370003,농심,KOSPI,454500,3500,.78,454500,460500,452000,15818,7214251500,6082642,2764560789000
20230829,004370,KR7004370003,농심,KOSPI,451000,-9500,-2.06,462000,463500,450000,18827,8585113500,6082642,2743271542000
20230828,004370,KR7004370003,농심,KOSPI,460500,-3500,-.75,467500,467500,456000,16394,7537797000,6082642,2801056641000
20230825,004370,KR7004370003,농심,KOSPI,464000,4000,.87,456000,468500,455500,24702,11428052000,6082642,2822345888000
20230824,004370,KR7004370003,농심,KOSPI,460000,0,0,458500,461000,445500,12714,5824479500,6082642,2798015320000
20230823,004370,KR7004370003,농심,KOSPI,460000,-4000,-.86,459000,468000,456500,23142,10669630000,6082642,2798015320000
20230822,004370,KR7004370003,농심,KOSPI,464000,-1000,-.22,467000,475500,459500,31070,14445906500,6082642,2822345888000
