basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,023530,KR7023530009,롯데쇼핑,KOSPI,75000,-600,-.79,75600,75900,74600,77013,5779878700,28288755,2121656625000
20231227,023530,KR7023530009,롯데쇼핑,KOSPI,75600,-5400,-6.67,79400,79400,75300,159941,12180921500,28288755,2138629878000
20231226,023530,KR7023530009,롯데쇼핑,KOSPI,81000,2200,2.79,79200,81500,78900,128689,10377209000,28288755,2291389155000
20231222,023530,KR7023530009,롯데쇼핑,KOSPI,78800,-200,-.25,79300,79500,78600,29935,2365573600,28288755,2229153894000
20231221,023530,KR7023530009,롯데쇼핑,KOSPI,79000,-100,-.13,78600,79100,77800,20890,1642851500,28288755,2234811645000
20231220,023530,KR7023530009,롯데쇼핑,KOSPI,79100,1200,1.54,78600,79300,78100,62333,4913414000,28288755,2237640520500
20231219,023530,KR7023530009,롯데쇼핑,KOSPI,77900,200,.26,77800,78500,77500,31298,2442913600,28288755,2203694014500
20231218,023530,KR7023530009,롯데쇼핑,KOSPI,77700,-200,-.26,77900,78500,77400,37596,2919976100,28288755,2198036263500
20231215,023530,KR7023530009,롯데쇼핑,KOSPI,77900,600,.78,77300,78500,77100,51163,3983379200,28288755,2203694014500
20231214,023530,KR7023530009,롯데쇼핑,KOSPI,77300,200,.26,77600,77600,76900,67920,5253205700,28288755,2186720761500
20231213,023530,KR7023530009,롯데쇼핑,KOSPI,77100,200,.26,77400,77400,76900,29021,2239809700,28288755,2181063010500
20231212,023530,KR7023530009,롯데쇼핑,KOSPI,76900,-200,-.26,77500,77600,76900,31717,2450310700,28288755,2175405259500
20231211,023530,KR7023530009,롯데쇼핑,KOSPI,77100,200,.26,77200,77500,76800,28522,2199794800,28288755,2181063010500
20231208,023530,KR7023530009,롯데쇼핑,KOSPI,76900,600,.79,77000,77200,75900,30742,2358639800,28288755,2175405259500
20231207,023530,KR7023530009,롯데쇼핑,KOSPI,76300,-800,-1.04,76500,76800,75500,32386,2470587300,28288755,2158432006500
20231206,023530,KR7023530009,롯데쇼핑,KOSPI,77100,300,.39,76800,77400,76600,20401,1572573700,28288755,2181063010500
20231205,023530,KR7023530009,롯데쇼핑,KOSPI,76800,-100,-.13,76400,77400,76200,31758,2443946600,28288755,2172576384000
20231204,023530,KR7023530009,롯데쇼핑,KOSPI,76900,0,0,77400,77500,76000,32695,2511617200,28288755,2175405259500
20231201,023530,KR7023530009,롯데쇼핑,KOSPI,76900,400,.52,76200,77100,76100,33159,2539171900,28288755,2175405259500
20231130,023530,KR7023530009,롯데쇼핑,KOSPI,76500,-300,-.39,77500,77600,76300,49671,3806287100,28288755,2164089757500
20231129,023530,KR7023530009,롯데쇼핑,KOSPI,76800,-1700,-2.17,78300,78300,76500,67288,5185763200,28288755,2172576384000
20231128,023530,KR7023530009,롯데쇼핑,KOSPI,78500,-2200,-2.73,80900,80900,78500,51207,4048215600,28288755,2220667267500
20231127,023530,KR7023530009,롯데쇼핑,KOSPI,80700,1500,1.89,79200,80800,79000,52351,4204951600,28288755,2282902528500
20231124,023530,KR7023530009,롯데쇼핑,KOSPI,79200,-400,-.5,79900,79900,78500,22365,1766920700,28288755,2240469396000
20231123,023530,KR7023530009,롯데쇼핑,KOSPI,79600,-100,-.13,79400,80000,78900,26135,2072804600,28288755,2251784898000
20231122,023530,KR7023530009,롯데쇼핑,KOSPI,79700,-400,-.5,79700,80200,79400,13591,1085524100,28288755,2254613773500
20231121,023530,KR7023530009,롯데쇼핑,KOSPI,80100,900,1.14,79900,80300,79200,36668,2923759500,28288755,2265929275500
20231120,023530,KR7023530009,롯데쇼핑,KOSPI,79200,0,0,79000,79700,78400,25173,1995271900,28288755,2240469396000
20231117,023530,KR7023530009,롯데쇼핑,KOSPI,79200,100,.13,79400,79700,78000,30697,2415346300,28288755,2240469396000
20231116,023530,KR7023530009,롯데쇼핑,KOSPI,79100,700,.89,78800,79600,77900,33869,2665725900,28288755,2237640520500
20231115,023530,KR7023530009,롯데쇼핑,KOSPI,78400,0,0,79500,79700,78100,35602,2797427500,28288755,2217838392000
20231114,023530,KR7023530009,롯데쇼핑,KOSPI,78400,800,1.03,78500,78600,77200,36035,2810494500,28288755,2217838392000
20231113,023530,KR7023530009,롯데쇼핑,KOSPI,77600,-100,-.13,78400,78800,77600,46453,3629732400,28288755,2195207388000
20231110,023530,KR7023530009,롯데쇼핑,KOSPI,77700,-1900,-2.39,78900,79500,77400,56103,4390397100,28288755,2198036263500
20231109,023530,KR7023530009,롯데쇼핑,KOSPI,79600,300,.38,78600,80300,78600,80567,6429896200,28288755,2251784898000
20231108,023530,KR7023530009,롯데쇼핑,KOSPI,79300,3500,4.62,76300,80200,76200,182663,14405805600,28288755,2243298271500
20231107,023530,KR7023530009,롯데쇼핑,KOSPI,75800,0,0,75900,76200,74500,44536,3356711100,28288755,2144287629000
20231106,023530,KR7023530009,롯데쇼핑,KOSPI,75800,2200,2.99,74300,75800,73700,108591,8127630500,28288755,2144287629000
20231103,023530,KR7023530009,롯데쇼핑,KOSPI,73600,600,.82,73600,74200,73000,46972,3467039700,28288755,2082052368000
20231102,023530,KR7023530009,롯데쇼핑,KOSPI,73000,-200,-.27,73500,73700,72500,49655,3636803600,28288755,2065079115000
20231101,023530,KR7023530009,롯데쇼핑,KOSPI,73200,1100,1.53,72500,73300,72200,36166,2634924200,28288755,2070736866000
20231031,023530,KR7023530009,롯데쇼핑,KOSPI,72100,100,.14,72600,73500,71700,40025,2893779500,28288755,2039619235500
20231030,023530,KR7023530009,롯데쇼핑,KOSPI,72000,700,.98,71000,72000,70900,29765,2132254800,28288755,2036790360000
20231027,023530,KR7023530009,롯데쇼핑,KOSPI,71300,-600,-.83,72700,72700,69800,37089,2659152900,28288755,2016988231500
20231026,023530,KR7023530009,롯데쇼핑,KOSPI,71900,-1200,-1.64,72900,73100,71800,37421,2706290100,28288755,2033961484500
20231025,023530,KR7023530009,롯데쇼핑,KOSPI,73100,2100,2.96,70900,73500,70500,65096,4721609600,28288755,2067907990500
20231024,023530,KR7023530009,롯데쇼핑,KOSPI,71000,1500,2.16,69500,71200,69300,44281,3108672300,28288755,2008501605000
20231023,023530,KR7023530009,롯데쇼핑,KOSPI,69500,600,.87,69400,71000,68400,67472,4690721600,28288755,1966068472500
20231020,023530,KR7023530009,롯데쇼핑,KOSPI,68900,-900,-1.29,69500,70200,68100,40232,2769728300,28288755,1949095219500
20231019,023530,KR7023530009,롯데쇼핑,KOSPI,69800,-900,-1.27,70300,70700,69500,41203,2879126700,28288755,1974555099000
20231018,023530,KR7023530009,롯데쇼핑,KOSPI,70700,700,1,70100,71300,70000,61656,4360419400,28288755,2000014978500
20231017,023530,KR7023530009,롯데쇼핑,KOSPI,70000,100,.14,70400,70700,69500,34088,2387445200,28288755,1980212850000
20231016,023530,KR7023530009,롯데쇼핑,KOSPI,69900,-1000,-1.41,70900,71000,69300,37317,2609206000,28288755,1977383974500
