basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,011170,KR7011170008,롯데케미칼,KOSPI,153200,1000,.66,152200,153200,150700,61031,9283253000,42775419,6553194190800
20231227,011170,KR7011170008,롯데케미칼,KOSPI,152200,-1600,-1.04,152600,153900,150100,42788,6468220000,42775419,6510418771800
20231226,011170,KR7011170008,롯데케미칼,KOSPI,153800,-100,-.06,155200,155400,151100,69081,10557150800,42775419,6578859442200
20231222,011170,KR7011170008,롯데케미칼,KOSPI,153900,-1600,-1.03,156400,156500,153300,49815,7680837600,42775419,6583136984100
20231221,011170,KR7011170008,롯데케미칼,KOSPI,155500,-3100,-1.95,158600,158600,154500,46903,7316063200,42775419,6651577654500
20231220,011170,KR7011170008,롯데케미칼,KOSPI,158600,2500,1.6,156800,160000,156700,57035,9055688700,42775419,6784181453400
20231219,011170,KR7011170008,롯데케미칼,KOSPI,156100,-3400,-2.13,158100,160000,155500,74172,11615723600,42775419,6677242905900
20231218,011170,KR7011170008,롯데케미칼,KOSPI,159500,-1300,-.81,160100,161000,158400,41000,6549041100,42775419,6822679330500
20231215,011170,KR7011170008,롯데케미칼,KOSPI,160800,-1000,-.62,160500,161700,159900,61882,9937684000,42775419,6878287375200
20231214,011170,KR7011170008,롯데케미칼,KOSPI,161800,2300,1.44,161000,162000,159300,104331,16830563800,42775419,6921062794200
20231213,011170,KR7011170008,롯데케미칼,KOSPI,159500,300,.19,161300,161300,157600,56966,9048327500,42775419,6822679330500
20231212,011170,KR7011170008,롯데케미칼,KOSPI,159200,0,0,160400,162000,159200,44399,7129180800,42775419,6809846704800
20231211,011170,KR7011170008,롯데케미칼,KOSPI,159200,-600,-.38,159700,160700,158400,37374,5953471600,42775419,6809846704800
20231208,011170,KR7011170008,롯데케미칼,KOSPI,159800,-2800,-1.72,163400,163500,159700,53277,8550840300,42775419,6835511956200
20231207,011170,KR7011170008,롯데케미칼,KOSPI,162600,2300,1.43,158800,165000,158700,89826,14646107800,42775419,6955283129400
20231206,011170,KR7011170008,롯데케미칼,KOSPI,160300,-1200,-.74,161500,164500,160300,50545,8173876000,42775419,6856899665700
20231205,011170,KR7011170008,롯데케미칼,KOSPI,161500,5100,3.26,155000,164900,155000,134213,21728032600,42775419,6908230168500
20231204,011170,KR7011170008,롯데케미칼,KOSPI,156400,-1100,-.7,159100,163000,156100,79191,12607432100,42775419,6690075531600
20231201,011170,KR7011170008,롯데케미칼,KOSPI,157500,3300,2.14,154500,159200,152200,90616,14154471600,42775419,6737128492500
20231130,011170,KR7011170008,롯데케미칼,KOSPI,154200,-2800,-1.78,157000,158200,154200,97931,15198376100,42775419,6595969609800
20231129,011170,KR7011170008,롯데케미칼,KOSPI,157000,-1900,-1.2,158200,159000,154200,55814,8723499500,42775419,6715740783000
20231128,011170,KR7011170008,롯데케미칼,KOSPI,158900,1100,.7,159300,159300,156900,50757,8049486000,42775419,6797014079100
20231127,011170,KR7011170008,롯데케미칼,KOSPI,157800,3200,2.07,154600,159000,154200,86561,13616752562,42775419,6749961118200
20231124,011170,KR7011170008,롯데케미칼,KOSPI,154600,-100,-.06,154800,156700,154000,42616,6633103300,42775419,6613079777400
20231123,011170,KR7011170008,롯데케미칼,KOSPI,154700,-900,-.58,155000,156500,154000,49815,7717132600,42775419,6617357319300
20231122,011170,KR7011170008,롯데케미칼,KOSPI,155600,-700,-.45,154800,157300,154600,63557,9938357000,42775419,6655855196400
20231121,011170,KR7011170008,롯데케미칼,KOSPI,156300,-500,-.32,157900,158000,154100,67371,10574688100,42775419,6685797989700
20231120,011170,KR7011170008,롯데케미칼,KOSPI,156800,1900,1.23,155000,158400,153800,61961,9682600300,42775419,6707185699200
20231117,011170,KR7011170008,롯데케미칼,KOSPI,154900,3300,2.18,151500,156800,151500,118325,18395540100,42775419,6625912403100
20231116,011170,KR7011170008,롯데케미칼,KOSPI,151600,-2300,-1.49,153500,153900,149500,80459,12171880800,42775419,6484753520400
20231115,011170,KR7011170008,롯데케미칼,KOSPI,153900,9300,6.43,148100,155000,148000,140288,21389801300,42775419,6583136984100
20231114,011170,KR7011170008,롯데케미칼,KOSPI,144600,1900,1.33,144600,147500,143100,126504,18351751800,42775419,6185325587400
20231113,011170,KR7011170008,롯데케미칼,KOSPI,142700,-1400,-.97,146000,147400,141300,151724,21782617400,42775419,6104052291300
20231110,011170,KR7011170008,롯데케미칼,KOSPI,144100,-13600,-8.62,158200,159000,143100,295510,43558449500,42775419,6163937877900
20231109,011170,KR7011170008,롯데케미칼,KOSPI,157700,300,.19,156600,158900,156600,134211,21217159400,42775419,6745683576300
20231108,011170,KR7011170008,롯데케미칼,KOSPI,157400,400,.25,156900,159000,155500,63793,10032818400,42775419,6732850950600
20231107,011170,KR7011170008,롯데케미칼,KOSPI,157000,600,.38,155000,158500,151900,109788,17168882300,42775419,6715740783000
20231106,011170,KR7011170008,롯데케미칼,KOSPI,156400,6000,3.99,150600,156400,150600,201474,31066096400,42775419,6690075531600
20231103,011170,KR7011170008,롯데케미칼,KOSPI,150400,1500,1.01,149000,151900,148700,103944,15601058500,42775419,6433423017600
20231102,011170,KR7011170008,롯데케미칼,KOSPI,148900,3300,2.27,147400,148900,144000,128150,18803695928,42775419,6369259889100
20231101,011170,KR7011170008,롯데케미칼,KOSPI,145600,-800,-.55,146600,146700,143600,87157,12682048000,42775419,6228101006400
20231031,011170,KR7011170008,롯데케미칼,KOSPI,146400,300,.21,147000,148300,144800,157138,22963247000,42775419,6262321341600
20231030,011170,KR7011170008,롯데케미칼,KOSPI,146100,9500,6.95,135500,148300,135300,242570,35375578800,42775419,6249488715900
20231027,011170,KR7011170008,롯데케미칼,KOSPI,136600,1500,1.11,136900,140000,135700,88550,12163330200,42775419,5843122235400
20231026,011170,KR7011170008,롯데케미칼,KOSPI,135100,-4100,-2.95,138500,138500,134000,86559,11726741800,42775419,5778959106900
20231025,011170,KR7011170008,롯데케미칼,KOSPI,139200,9300,7.16,130400,141100,130100,184373,25308277000,42775419,5954338324800
20231024,011170,KR7011170008,롯데케미칼,KOSPI,129900,800,.62,130400,130900,126400,58984,7564532800,42775419,5556526928100
20231023,011170,KR7011170008,롯데케미칼,KOSPI,129100,-1100,-.84,130200,131400,127700,68415,8842835500,42775419,5522306592900
20231020,011170,KR7011170008,롯데케미칼,KOSPI,130200,-3500,-2.62,132500,132900,130100,59022,7742982700,42775419,5569359553800
20231019,011170,KR7011170008,롯데케미칼,KOSPI,133700,-2400,-1.76,133700,134500,131600,77177,10290000000,42775419,5719073520300
20231018,011170,KR7011170008,롯데케미칼,KOSPI,136100,-1900,-1.38,136800,138100,135300,46868,6389914500,42775419,5821734525900
20231017,011170,KR7011170008,롯데케미칼,KOSPI,138000,-1100,-.79,139300,139300,137100,79502,10981417900,42775419,5903007822000
20231016,011170,KR7011170008,롯데케미칼,KOSPI,139100,2300,1.68,135500,140500,135500,101289,14049639800,42775419,5950060782900
20231013,011170,KR7011170008,롯데케미칼,KOSPI,136800,-1400,-1.01,136100,137800,134400,76642,10453618000,42775419,5851677319200
20231012,011170,KR7011170008,롯데케미칼,KOSPI,138200,5800,4.38,133700,139700,132400,130193,17880876600,42775419,5911562905800
20231011,011170,KR7011170008,롯데케미칼,KOSPI,132400,300,.23,133400,133500,130200,104467,13765105000,42775419,5663465475600
20231010,011170,KR7011170008,롯데케미칼,KOSPI,132100,1300,.99,133500,135700,130700,103588,13749947500,42775419,5650632849900
20231006,011170,KR7011170008,롯데케미칼,KOSPI,130800,1100,.85,129000,131900,128900,80784,10517742600,42775419,5595024805200
20231005,011170,KR7011170008,롯데케미칼,KOSPI,129700,-1600,-1.22,131200,132900,129400,104111,13607903800,42775419,5547971844300
20231004,011170,KR7011170008,롯데케미칼,KOSPI,131300,-5800,-4.23,136000,136000,130700,150133,19890762500,42775419,5616412514700
20230927,011170,KR7011170008,롯데케미칼,KOSPI,137100,-700,-.51,136400,138600,135900,68818,9426718700,42775419,5864509944900
20230926,011170,KR7011170008,롯데케미칼,KOSPI,137800,-300,-.22,137200,139100,136600,84004,11570279700,42775419,5894452738200
20230925,011170,KR7011170008,롯데케미칼,KOSPI,138100,300,.22,136700,140700,136700,55413,7704733600,42775419,5907285363900
