basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,004170,KR7004170007,신세계,KOSPI,175200,1500,.86,174200,175600,173100,31830,5553987900,9845181,1724875711200
20231227,004170,KR7004170007,신세계,KOSPI,173700,-4300,-2.42,176500,176900,172800,68074,11853033000,9845181,1710107939700
20231226,004170,KR7004170007,신세계,KOSPI,178000,1300,.74,176800,178700,176400,48917,8696547600,9845181,1752442218000
20231222,004170,KR7004170007,신세계,KOSPI,176700,-100,-.06,177100,177400,175500,19901,3516402400,9845181,1739643482700
20231221,004170,KR7004170007,신세계,KOSPI,176800,-1700,-.95,177500,178300,175400,30405,5362574500,9845181,1740628000800
20231220,004170,KR7004170007,신세계,KOSPI,178500,3500,2,175400,178500,174500,44504,7861806000,9845181,1757364808500
20231219,004170,KR7004170007,신세계,KOSPI,175000,1000,.57,173200,175000,173100,27784,4837447700,9845181,1722906675000
20231218,004170,KR7004170007,신세계,KOSPI,174000,-1600,-.91,175200,175300,172800,35639,6190383800,9845181,1713061494000
20231215,004170,KR7004170007,신세계,KOSPI,175600,1800,1.04,173900,175600,173400,44480,7774042800,9845181,1728813783600
20231214,004170,KR7004170007,신세계,KOSPI,173800,1000,.58,173900,174800,172900,56616,9848713300,9845181,1711092457800
20231213,004170,KR7004170007,신세계,KOSPI,172800,0,0,173100,173600,171400,25600,4422167500,9845181,1701247276800
20231212,004170,KR7004170007,신세계,KOSPI,172800,-100,-.06,173400,174000,172500,22587,3914067800,9845181,1701247276800
20231211,004170,KR7004170007,신세계,KOSPI,172900,600,.35,172300,173300,170900,20472,3521514600,9845181,1702231794900
20231208,004170,KR7004170007,신세계,KOSPI,172300,-500,-.29,173500,174000,171900,28097,4844723200,9845181,1696324686300
20231207,004170,KR7004170007,신세계,KOSPI,172800,-2700,-1.54,175600,175900,172500,28636,4960567200,9845181,1701247276800
20231206,004170,KR7004170007,신세계,KOSPI,175500,2400,1.39,174500,175500,173600,28130,4917310000,9845181,1727829265500
20231205,004170,KR7004170007,신세계,KOSPI,173100,0,0,173100,174600,171100,28322,4910089900,9845181,1704200831100
20231204,004170,KR7004170007,신세계,KOSPI,173100,2800,1.64,170400,174200,169600,42938,7428905500,9845181,1704200831100
20231201,004170,KR7004170007,신세계,KOSPI,170300,200,.12,169800,171900,169400,27609,4713095300,9845181,1676634324300
20231130,004170,KR7004170007,신세계,KOSPI,170100,500,.29,169600,171000,169200,30596,5199606400,9845181,1674665288100
20231129,004170,KR7004170007,신세계,KOSPI,169600,-1700,-.99,171400,171500,168800,43973,7473363200,9845181,1669742697600
20231128,004170,KR7004170007,신세계,KOSPI,171300,-600,-.35,172000,172800,171100,27641,4742694700,9845181,1686479505300
20231127,004170,KR7004170007,신세계,KOSPI,171900,-500,-.29,172400,173400,170500,32048,5496919300,9845181,1692386613900
20231124,004170,KR7004170007,신세계,KOSPI,172400,-1300,-.75,174000,174000,171500,39267,6760751900,9845181,1697309204400
20231123,004170,KR7004170007,신세계,KOSPI,173700,-200,-.12,173800,174300,172600,22549,3908254300,9845181,1710107939700
20231122,004170,KR7004170007,신세계,KOSPI,173900,-500,-.29,173500,174500,172500,18082,3135128400,9845181,1712076975900
20231121,004170,KR7004170007,신세계,KOSPI,174400,1100,.63,173400,174700,172300,26244,4565746700,9845181,1716999566400
20231120,004170,KR7004170007,신세계,KOSPI,173300,800,.46,172500,173600,171600,36604,6330318200,9845181,1706169867300
20231117,004170,KR7004170007,신세계,KOSPI,172500,-1400,-.81,174000,174400,170700,25825,4434845000,9845181,1698293722500
20231116,004170,KR7004170007,신세계,KOSPI,173900,0,0,173900,175000,173700,18109,3151487100,9845181,1712076975900
20231115,004170,KR7004170007,신세계,KOSPI,173900,2200,1.28,174400,175200,172400,38032,6598766500,9845181,1712076975900
20231114,004170,KR7004170007,신세계,KOSPI,171700,2100,1.24,170200,172100,168000,24228,4144349000,9845181,1690417577700
20231113,004170,KR7004170007,신세계,KOSPI,169600,-1100,-.64,171900,171900,168500,29744,5053606800,9845181,1669742697600
20231110,004170,KR7004170007,신세계,KOSPI,170700,-1600,-.93,170700,172700,169500,25032,4266081700,9845181,1680572396700
20231109,004170,KR7004170007,신세계,KOSPI,172300,-1400,-.81,173700,175000,171100,49923,8634920000,9845181,1696324686300
20231108,004170,KR7004170007,신세계,KOSPI,173700,500,.29,174400,175800,172000,64099,11142296000,9845181,1710107939700
20231107,004170,KR7004170007,신세계,KOSPI,173200,0,0,172800,175900,171500,57142,9912102200,9845181,1705185349200
20231106,004170,KR7004170007,신세계,KOSPI,173200,5400,3.22,171500,173200,169300,83535,14338475400,9845181,1705185349200
20231103,004170,KR7004170007,신세계,KOSPI,167800,3000,1.82,165800,168400,164800,67745,11299444900,9845181,1652021371800
20231102,004170,KR7004170007,신세계,KOSPI,164800,-5600,-3.29,170400,171400,163700,94234,15674540500,9845181,1622485828800
20231101,004170,KR7004170007,신세계,KOSPI,170400,1600,.95,168900,171100,168200,32971,5587250100,9845181,1677618842400
20231031,004170,KR7004170007,신세계,KOSPI,168800,2300,1.38,168900,171700,168000,46636,7905761300,9845181,1661866552800
20231030,004170,KR7004170007,신세계,KOSPI,166500,-5200,-3.03,169100,169500,160500,94417,15533177900,9845181,1639222636500
20231027,004170,KR7004170007,신세계,KOSPI,171700,500,.29,172800,173200,170500,28699,4927611900,9845181,1690417577700
20231026,004170,KR7004170007,신세계,KOSPI,171200,-4600,-2.62,175200,175200,169700,43031,7373701900,9845181,1685494987200
20231025,004170,KR7004170007,신세계,KOSPI,175800,3800,2.21,172000,177000,171500,41191,7199091300,9845181,1730782819800
20231024,004170,KR7004170007,신세계,KOSPI,172000,1000,.58,172400,173100,167000,44747,7587564900,9845181,1693371132000
20231023,004170,KR7004170007,신세계,KOSPI,171000,-100,-.06,171100,172500,169500,24011,4101616600,9845181,1683525951000
20231020,004170,KR7004170007,신세계,KOSPI,171100,-2300,-1.33,172000,172800,169700,44350,7582901900,9845181,1684510469100
20231019,004170,KR7004170007,신세계,KOSPI,173400,-5000,-2.8,178300,178300,173300,50575,8834072800,9845181,1707154385400
20231018,004170,KR7004170007,신세계,KOSPI,178400,-900,-.5,179300,180000,178000,32474,5796901500,9845181,1756380290400
20231017,004170,KR7004170007,신세계,KOSPI,179300,1400,.79,178000,180600,177000,35227,6287686300,9845181,1765240953300
20231016,004170,KR7004170007,신세계,KOSPI,177900,-1000,-.56,178200,178300,175300,42228,7462918500,9845181,1751457699900
20231013,004170,KR7004170007,신세계,KOSPI,178900,100,.06,178000,179600,177900,25738,4598818400,9845181,1761302880900
20231012,004170,KR7004170007,신세계,KOSPI,178800,400,.22,179500,180500,177900,29325,5254055700,9845181,1760318362800
20231011,004170,KR7004170007,신세계,KOSPI,178400,600,.34,178000,180700,177000,50726,9060475000,9845181,1756380290400
20231010,004170,KR7004170007,신세계,KOSPI,177800,-3800,-2.09,182200,184200,177100,64999,11644815200,9845181,1750473181800
20231006,004170,KR7004170007,신세계,KOSPI,181600,-1500,-.82,183300,186000,180400,38710,7028713100,9845181,1787884869600
20231005,004170,KR7004170007,신세계,KOSPI,183100,-1900,-1.03,185200,186700,182400,34817,6411292900,9845181,1802652641100
20231004,004170,KR7004170007,신세계,KOSPI,185000,-5100,-2.68,188000,190000,183300,68721,12699997400,9845181,1821358485000
20230927,004170,KR7004170007,신세계,KOSPI,190100,400,.21,189300,191300,188300,26591,5052599000,9845181,1871568908100
20230926,004170,KR7004170007,신세계,KOSPI,189700,-12800,-6.32,201000,201500,189000,124089,23917042300,9845181,1867630835700
20230925,004170,KR7004170007,신세계,KOSPI,202500,-500,-.25,203000,204000,200000,67711,13636680000,9845181,1993649152500
20230922,004170,KR7004170007,신세계,KOSPI,203000,-1500,-.73,203000,204000,201000,38872,7870160000,9845181,1998571743000
20230921,004170,KR7004170007,신세계,KOSPI,204500,-3000,-1.45,206000,209500,204500,36981,7629003500,9845181,2013339514500
20230920,004170,KR7004170007,신세계,KOSPI,207500,-1000,-.48,207500,209500,205000,30476,6327177000,9845181,2042875057500
20230919,004170,KR7004170007,신세계,KOSPI,208500,-4000,-1.88,211000,212500,207500,27185,5681688000,9845181,2052720238500
20230918,004170,KR7004170007,신세계,KOSPI,212500,500,.24,210000,214500,208500,29349,6229834000,9845181,2092100962500
20230915,004170,KR7004170007,신세계,KOSPI,212000,3000,1.44,211500,213500,209000,49873,10539670500,9845181,2087178372000
20230914,004170,KR7004170007,신세계,KOSPI,209000,500,.24,209000,213000,208500,37674,7905691000,9845181,2057642829000
20230913,004170,KR7004170007,신세계,KOSPI,208500,-2500,-1.18,210500,213000,208000,36396,7630709000,9845181,2052720238500
20230912,004170,KR7004170007,신세계,KOSPI,211000,-4000,-1.86,215000,216000,210500,39904,8494564500,9845181,2077333191000
20230911,004170,KR7004170007,신세계,KOSPI,215000,4000,1.9,211500,216000,210000,52410,11166103500,9845181,2116713915000
20230908,004170,KR7004170007,신세계,KOSPI,211000,3000,1.44,209000,212000,207000,43592,9159991500,9845181,2077333191000
20230907,004170,KR7004170007,신세계,KOSPI,208000,-1000,-.48,208000,210000,207000,32821,6835587000,9845181,2047797648000
20230906,004170,KR7004170007,신세계,KOSPI,209000,-1000,-.48,208000,212000,207500,43848,9188750500,9845181,2057642829000
20230905,004170,KR7004170007,신세계,KOSPI,210000,2000,.96,208500,213000,208000,74492,15683416000,9845181,2067488010000
20230904,004170,KR7004170007,신세계,KOSPI,208000,3500,1.71,203000,210000,201500,65770,13622327500,9845181,2047797648000
20230901,004170,KR7004170007,신세계,KOSPI,204500,1500,.74,202000,207000,202000,66107,13584339000,9845181,2013339514500
20230831,004170,KR7004170007,신세계,KOSPI,203000,500,.25,202500,205000,200000,51437,10427563500,9845181,1998571743000
20230830,004170,KR7004170007,신세계,KOSPI,202500,-1000,-.49,207000,207500,202500,64772,13210916500,9845181,1993649152500
20230829,004170,KR7004170007,신세계,KOSPI,203500,-1500,-.73,207000,207000,201500,47277,9616921500,9845181,2003494333500
20230828,004170,KR7004170007,신세계,KOSPI,205000,2000,.99,208500,214000,204500,69934,14515151500,9845181,2018262105000
20230825,004170,KR7004170007,신세계,KOSPI,203000,4900,2.47,197200,204500,196800,43489,8776835300,9845181,1998571743000
20230824,004170,KR7004170007,신세계,KOSPI,198100,-200,-.1,198000,200500,197700,28871,5731173200,9845181,1950330356100
20230823,004170,KR7004170007,신세계,KOSPI,198300,1000,.51,196500,199400,196000,27605,5467728700,9845181,1952299392300
20230822,004170,KR7004170007,신세계,KOSPI,197300,100,.05,197500,199200,196300,35863,7089756600,9845181,1942454211300
20230821,004170,KR7004170007,신세계,KOSPI,197200,-4300,-2.13,200500,202000,197000,70562,13981825300,9845181,1941469693200
20230818,004170,KR7004170007,신세계,KOSPI,201500,-2000,-.98,201500,205500,201000,65852,13356101500,9845181,1983803971500
20230817,004170,KR7004170007,신세계,KOSPI,203500,-6000,-2.86,206000,206500,201500,69800,14198856000,9845181,2003494333500
20230816,004170,KR7004170007,신세계,KOSPI,209500,-4500,-2.1,213000,213000,202000,126725,26339797000,9845181,2062565419500
20230814,004170,KR7004170007,신세계,KOSPI,214000,8000,3.88,207500,216000,206500,178065,38043613500,9845181,2106868734000
20230811,004170,KR7004170007,신세계,KOSPI,206000,-5000,-2.37,213000,217000,205500,141823,29798792500,9845181,2028107286000
20230810,004170,KR7004170007,신세계,KOSPI,211000,18000,9.33,205000,211500,202500,459244,95899305500,9845181,2077333191000
20230809,004170,KR7004170007,신세계,KOSPI,193000,-5000,-2.53,197600,198500,191500,88127,17157191300,9845181,1900119933000
20230808,004170,KR7004170007,신세계,KOSPI,198000,-400,-.2,198300,199900,197600,37666,7494344900,9845181,1949345838000
20230807,004170,KR7004170007,신세계,KOSPI,198400,-900,-.45,198100,201000,198100,38007,7582337600,9845181,1953283910400
20230804,004170,KR7004170007,신세계,KOSPI,199300,5000,2.57,194400,200000,193600,70792,14045828300,9845181,1962144573300
20230803,004170,KR7004170007,신세계,KOSPI,194300,-2600,-1.32,197100,197500,193900,37875,7396118600,9845181,1912918668300
20230802,004170,KR7004170007,신세계,KOSPI,196900,1200,.61,195400,198900,193500,64166,12668842600,9845181,1938516138900
20230801,004170,KR7004170007,신세계,KOSPI,195700,4500,2.35,192500,196500,191500,72400,14117663000,9845181,1926701921700
20230731,004170,KR7004170007,신세계,KOSPI,191200,1600,.84,189900,192400,189900,50436,9652051800,9845181,1882398607200
20230728,004170,KR7004170007,신세계,KOSPI,189600,-2200,-1.15,190000,191000,187200,32184,6075787700,9845181,1866646317600
20230727,004170,KR7004170007,신세계,KOSPI,191800,9700,5.33,181900,192200,181500,96496,18325276000,9845181,1888305715800
20230726,004170,KR7004170007,신세계,KOSPI,182100,-5500,-2.93,186100,186500,178500,89074,16103497200,9845181,1792807460100
20230725,004170,KR7004170007,신세계,KOSPI,187600,-2500,-1.32,190100,190100,185800,59968,11233552000,9845181,1846955955600
20230724,004170,KR7004170007,신세계,KOSPI,190100,-900,-.47,191000,191000,188000,36459,6901822700,9845181,1871568908100
20230721,004170,KR7004170007,신세계,KOSPI,191000,400,.21,189400,191300,188500,29031,5529224600,9845181,1880429571000
20230720,004170,KR7004170007,신세계,KOSPI,190600,600,.32,188900,191600,188200,40782,7777076800,9845181,1876491498600
20230719,004170,KR7004170007,신세계,KOSPI,190000,-300,-.16,189600,192000,189600,42352,8074111200,9845181,1870584390000
20230718,004170,KR7004170007,신세계,KOSPI,190300,-700,-.37,191500,193500,189600,37564,7168699900,9845181,1873537944300
20230717,004170,KR7004170007,신세계,KOSPI,191000,-1700,-.88,190900,192400,188700,45712,8703621000,9845181,1880429571000
20230714,004170,KR7004170007,신세계,KOSPI,192700,400,.21,193900,194000,190500,41600,7997522900,9845181,1897166378700
20230713,004170,KR7004170007,신세계,KOSPI,192300,-1900,-.98,194900,195500,191600,72191,13913348900,9845181,1893228306300
20230712,004170,KR7004170007,신세계,KOSPI,194200,5200,2.75,189500,194800,189200,116337,22476731200,9845181,1911934150200
20230711,004170,KR7004170007,신세계,KOSPI,189000,3400,1.83,186700,189100,185500,60549,11380838200,9845181,1860739209000
20230710,004170,KR7004170007,신세계,KOSPI,185600,4600,2.54,181600,187300,180200,87790,16246465883,9845181,1827265593600
20230707,004170,KR7004170007,신세계,KOSPI,181000,100,.06,179300,181500,179000,56536,10200468300,9845181,1781977761000
20230706,004170,KR7004170007,신세계,KOSPI,180900,3300,1.86,177700,181700,175000,93981,16833919300,9845181,1780993242900
20230705,004170,KR7004170007,신세계,KOSPI,177600,400,.23,177400,180000,176900,50433,9007009400,9845181,1748504145600
20230704,004170,KR7004170007,신세계,KOSPI,177200,-2000,-1.12,179200,180100,176700,52725,9404256900,9845181,1744566073200
20230703,004170,KR7004170007,신세계,KOSPI,179200,1100,.62,178100,179500,177200,42714,7640724500,9845181,1764256435200
20230630,004170,KR7004170007,신세계,KOSPI,178100,1200,.68,175900,178800,172700,91543,16093165000,9845181,1753426736100
20230629,004170,KR7004170007,신세계,KOSPI,176900,-1400,-.79,177300,178500,176600,55548,9844646000,9845181,1741612518900
20230628,004170,KR7004170007,신세계,KOSPI,178300,0,0,178300,178900,176600,66598,11845392200,9845181,1755395772300
20230627,004170,KR7004170007,신세계,KOSPI,178300,-1500,-.83,179400,180300,177100,45510,8101126400,9845181,1755395772300
20230626,004170,KR7004170007,신세계,KOSPI,179800,1400,.78,178700,180100,175900,34102,6106059300,9845181,1770163543800
20230623,004170,KR7004170007,신세계,KOSPI,178400,-6700,-3.62,185100,185100,178100,121488,21839136800,9845181,1756380290400
20230622,004170,KR7004170007,신세계,KOSPI,185100,600,.33,184500,185900,183200,35200,6510292700,9845181,1822343003100
20230621,004170,KR7004170007,신세계,KOSPI,184500,-3100,-1.65,187500,187500,184000,67468,12467054600,9845181,1816435894500
20230620,004170,KR7004170007,신세계,KOSPI,187600,2300,1.24,185800,190700,185600,79500,14955652600,9845181,1846955955600
20230619,004170,KR7004170007,신세계,KOSPI,185300,900,.49,184400,186200,184400,52582,9746872800,9845181,1824312039300
20230616,004170,KR7004170007,신세계,KOSPI,184400,100,.05,184900,186200,184000,77793,14383995700,9845181,1815451376400
20230615,004170,KR7004170007,신세계,KOSPI,184300,-3700,-1.97,187600,188800,183900,98893,18339550200,9845181,1814466858300
20230614,004170,KR7004170007,신세계,KOSPI,188000,-2200,-1.16,190300,190300,186800,96836,18176451700,9845181,1850894028000
20230613,004170,KR7004170007,신세계,KOSPI,190200,-2500,-1.3,192900,193500,190100,90129,17225035000,9845181,1872553426200
20230612,004170,KR7004170007,신세계,KOSPI,192700,-2500,-1.28,195500,196300,192400,75729,14641571300,9845181,1897166378700
20230609,004170,KR7004170007,신세계,KOSPI,195200,300,.15,195100,196400,193100,84503,16407917400,9845181,1921779331200
20230608,004170,KR7004170007,신세계,KOSPI,194900,-1600,-.81,197000,197100,193200,96314,18698440900,9845181,1918825776900
20230607,004170,KR7004170007,신세계,KOSPI,196500,-1300,-.66,198000,198600,196400,52147,10282202300,9845181,1934578066500
20230605,004170,KR7004170007,신세계,KOSPI,197800,2100,1.07,196500,197800,195700,48700,9591603500,9845181,1947376801800
20230602,004170,KR7004170007,신세계,KOSPI,195700,-400,-.2,196500,196800,193100,65835,12839053000,9845181,1926701921700
20230601,004170,KR7004170007,신세계,KOSPI,196100,-1600,-.81,198100,199200,195900,89214,17579293800,9845181,1930639994100
20230531,004170,KR7004170007,신세계,KOSPI,197700,-5800,-2.85,203500,203500,197700,239977,47972110200,9845181,1946392283700
20230530,004170,KR7004170007,신세계,KOSPI,203500,-2000,-.97,205500,206500,203500,66588,13628259500,9845181,2003494333500
