basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,271560,KR7271560005,오리온,KOSPI,116100,1600,1.4,115800,116100,114600,84378,9762303500,39536132,4590144925200
20231227,271560,KR7271560005,오리온,KOSPI,114500,-1000,-.87,115500,115900,113800,35888,4114457000,39536132,4526887114000
20231226,271560,KR7271560005,오리온,KOSPI,115500,1900,1.67,114700,116000,113700,78728,9098826400,39536132,4566423246000
20231222,271560,KR7271560005,오리온,KOSPI,113600,-1800,-1.56,116000,116000,113500,51239,5866107500,39536132,4491304595200
20231221,271560,KR7271560005,오리온,KOSPI,115400,700,.61,114900,115800,114200,59156,6815882800,39536132,4562469632800
20231220,271560,KR7271560005,오리온,KOSPI,114700,4000,3.61,113300,116300,112500,262114,30221268966,39536132,4534794340400
20231219,271560,KR7271560005,오리온,KOSPI,110700,2500,2.31,107800,111800,107600,108711,11911420100,39536132,4376649812400
20231218,271560,KR7271560005,오리온,KOSPI,108200,-1500,-1.37,109100,109700,107900,125576,13616245000,39536132,4277809482400
20231215,271560,KR7271560005,오리온,KOSPI,109700,-1100,-.99,111100,111400,109700,100555,11059385100,39536132,4337113680400
20231214,271560,KR7271560005,오리온,KOSPI,110800,-300,-.27,112200,112200,110800,107571,11954483100,39536132,4380603425600
20231213,271560,KR7271560005,오리온,KOSPI,111100,-1200,-1.07,111300,112100,110000,113669,12615387000,39536132,4392464265200
20231212,271560,KR7271560005,오리온,KOSPI,112300,900,.81,112200,112900,111400,107702,12088049100,39536132,4439907623600
20231211,271560,KR7271560005,오리온,KOSPI,111400,100,.09,112700,113100,111100,78916,8801192950,39536132,4404325104800
20231208,271560,KR7271560005,오리온,KOSPI,111300,-600,-.54,112500,113000,111300,74318,8309938750,39536132,4400371491600
20231207,271560,KR7271560005,오리온,KOSPI,111900,-4400,-3.78,115000,116200,111900,99657,11288539300,39536132,4424093170800
20231206,271560,KR7271560005,오리온,KOSPI,116300,-900,-.77,117900,118000,115400,57689,6754628100,39536132,4598052151600
20231205,271560,KR7271560005,오리온,KOSPI,117200,2000,1.74,115200,118200,115200,48868,5721378500,39536132,4633634670400
20231204,271560,KR7271560005,오리온,KOSPI,115200,0,0,116300,116300,115000,46434,5355728700,39536132,4554562406400
