basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,139480,KR7139480008,이마트,KOSPI,76600,300,.39,76700,76800,75900,72595,5546255000,27875819,2135287735400
20231227,139480,KR7139480008,이마트,KOSPI,76300,-1600,-2.05,77200,77900,76100,67508,5165100800,27875819,2126924989700
20231226,139480,KR7139480008,이마트,KOSPI,77900,800,1.04,77800,78600,76800,115527,9003463400,27875819,2171526300100
20231222,139480,KR7139480008,이마트,KOSPI,77100,100,.13,77100,77400,76500,54125,4171628200,27875819,2149225644900
20231221,139480,KR7139480008,이마트,KOSPI,77000,-600,-.77,77100,77200,76400,61740,4745965000,27875819,2146438063000
20231220,139480,KR7139480008,이마트,KOSPI,77600,1700,2.24,76000,77600,75700,167384,12886955500,27875819,2163163554400
20231219,139480,KR7139480008,이마트,KOSPI,75900,2700,3.69,73600,76300,73500,230091,17324120700,27875819,2115774662100
20231218,139480,KR7139480008,이마트,KOSPI,73200,-200,-.27,73000,73500,72800,53820,3938388300,27875819,2040509950800
20231215,139480,KR7139480008,이마트,KOSPI,73400,200,.27,73100,73900,73000,72019,5296331500,27875819,2046085114600
20231214,139480,KR7139480008,이마트,KOSPI,73200,200,.27,73500,73600,72700,118840,8689563450,27875819,2040509950800
20231213,139480,KR7139480008,이마트,KOSPI,73000,-700,-.95,73700,73800,72800,75654,5545607200,27875819,2034934787000
20231212,139480,KR7139480008,이마트,KOSPI,73700,100,.14,74200,74300,73300,70046,5165555900,27875819,2054447860300
20231211,139480,KR7139480008,이마트,KOSPI,73600,200,.27,73300,73800,73100,42770,3142174000,27875819,2051660278400
20231208,139480,KR7139480008,이마트,KOSPI,73400,-300,-.41,73700,74300,73000,95018,6969385600,27875819,2046085114600
20231207,139480,KR7139480008,이마트,KOSPI,73700,-1300,-1.73,74500,74600,73700,97098,7181822700,27875819,2054447860300
20231206,139480,KR7139480008,이마트,KOSPI,75000,100,.13,74900,75200,74300,43248,3238686600,27875819,2090686425000
20231205,139480,KR7139480008,이마트,KOSPI,74900,0,0,74600,75300,74300,60631,4537275000,27875819,2087898843100
20231204,139480,KR7139480008,이마트,KOSPI,74900,-400,-.53,75300,75800,74400,88765,6641845200,27875819,2087898843100
20231201,139480,KR7139480008,이마트,KOSPI,75300,-500,-.66,75800,76300,75300,45979,3478345600,27875819,2099049170700
20231130,139480,KR7139480008,이마트,KOSPI,75800,-200,-.26,76000,76300,75000,124939,9423129500,27875819,2112987080200
20231129,139480,KR7139480008,이마트,KOSPI,76000,-2000,-2.56,77500,77700,75800,133984,10256079500,27875819,2118562244000
20231128,139480,KR7139480008,이마트,KOSPI,78000,-1200,-1.52,79800,79900,77400,90822,7084945000,27875819,2174313882000
20231127,139480,KR7139480008,이마트,KOSPI,79200,1300,1.67,78200,79900,78000,117325,9293146400,27875819,2207764864800
20231124,139480,KR7139480008,이마트,KOSPI,77900,400,.52,77900,78200,76900,57524,4465079500,27875819,2171526300100
20231123,139480,KR7139480008,이마트,KOSPI,77500,0,0,77500,78100,77100,52378,4063609600,27875819,2160375972500
20231122,139480,KR7139480008,이마트,KOSPI,77500,300,.39,76700,77800,76700,97653,7556415500,27875819,2160375972500
20231121,139480,KR7139480008,이마트,KOSPI,77200,300,.39,77800,78400,77000,77033,5972284300,27875819,2152013226800
20231120,139480,KR7139480008,이마트,KOSPI,76900,400,.52,76200,77100,75000,91506,6987194100,27875819,2143650481100
