basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,086790,KR7086790003,하나금융지주,KOSPI,43400,600,1.4,42750,43400,42450,809158,34869610350,292356598,12688276353200
20231227,086790,KR7086790003,하나금융지주,KOSPI,42800,-650,-1.5,42950,43150,42550,798682,34213379000,292356598,12512862394400
20231226,086790,KR7086790003,하나금융지주,KOSPI,43450,550,1.28,43150,43550,42850,913502,39500137750,292356598,12702894183100
20231222,086790,KR7086790003,하나금융지주,KOSPI,42900,-150,-.35,43300,43300,42600,654376,28117171200,292356598,12542098054200
20231221,086790,KR7086790003,하나금융지주,KOSPI,43050,50,.12,42850,43400,42800,476387,20520328350,292356598,12585951543900
20231220,086790,KR7086790003,하나금융지주,KOSPI,43000,800,1.9,42450,43100,42300,739907,31719772700,292356598,12571333714000
20231219,086790,KR7086790003,하나금융지주,KOSPI,42200,-150,-.35,42050,42550,41950,600738,25423397800,292356598,12337448435600
20231218,086790,KR7086790003,하나금융지주,KOSPI,42350,-600,-1.4,42550,42800,42350,729375,30999216050,292356598,12381301925300
20231215,086790,KR7086790003,하나금융지주,KOSPI,42950,1100,2.63,42350,42950,42250,1382936,59133622750,292356598,12556715884100
20231214,086790,KR7086790003,하나금융지주,KOSPI,41850,200,.48,42100,42350,41750,1616869,67900259200,292356598,12235123626300
20231213,086790,KR7086790003,하나금융지주,KOSPI,41650,-450,-1.07,41700,42200,41600,658176,27546441000,292356598,12176652306700
20231212,086790,KR7086790003,하나금융지주,KOSPI,42100,500,1.2,41850,42150,41700,865933,36301202300,292356598,12308212775800
20231211,086790,KR7086790003,하나금융지주,KOSPI,41600,150,.36,41500,41700,41250,520329,21572960160,292356598,12162034476800
20231208,086790,KR7086790003,하나금융지주,KOSPI,41450,300,.73,41450,41750,41150,668507,27774699390,292356598,12118180987100
20231207,086790,KR7086790003,하나금융지주,KOSPI,41150,-450,-1.08,41500,41550,41000,811065,33468957800,292356598,12030474007700
20231206,086790,KR7086790003,하나금융지주,KOSPI,41600,0,0,41700,42150,41600,822790,34434867000,292356598,12162034476800
20231205,086790,KR7086790003,하나금융지주,KOSPI,41600,-100,-.24,41700,41800,41500,475220,19779171900,292356598,12162034476800
20231204,086790,KR7086790003,하나금융지주,KOSPI,41700,-150,-.36,41850,42150,41700,690769,28954221900,292356598,12191270136600
20231201,086790,KR7086790003,하나금융지주,KOSPI,41850,200,.48,42000,42100,41450,679945,28460812650,292356598,12235123626300
20231130,086790,KR7086790003,하나금융지주,KOSPI,41650,400,.97,41100,41900,40900,1473897,61348673500,292356598,12176652306700
20231129,086790,KR7086790003,하나금융지주,KOSPI,41250,-350,-.84,41350,41700,41100,713062,29503906500,292356598,12059709667500
20231128,086790,KR7086790003,하나금융지주,KOSPI,41600,50,.12,41500,41650,40700,1102835,45519683500,292356598,12162034476800
