basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,000720,KR7000720003,현대건설,KOSPI,34900,-50,-.14,34800,34900,33950,953500,32875842800,111355765,3886316198500
20231227,000720,KR7000720003,현대건설,KOSPI,34950,0,0,34950,35150,34700,412360,14367935850,111355765,3891883986750
20231226,000720,KR7000720003,현대건설,KOSPI,34950,200,.58,35050,35150,34800,424320,14816621900,111355765,3891883986750
20231222,000720,KR7000720003,현대건설,KOSPI,34750,-50,-.14,35000,35050,34700,325149,11334046150,111355765,3869612833750
20231221,000720,KR7000720003,현대건설,KOSPI,34800,-100,-.29,34900,35000,34650,338094,11753818650,111355765,3875180622000
20231220,000720,KR7000720003,현대건설,KOSPI,34900,200,.58,34850,35150,34800,462848,16166289500,111355765,3886316198500
20231219,000720,KR7000720003,현대건설,KOSPI,34700,-700,-1.98,35400,35400,34550,756350,26353744950,111355765,3864045045500
20231218,000720,KR7000720003,현대건설,KOSPI,35400,-550,-1.53,35900,35900,35400,419405,14886253350,111355765,3941994081000
20231215,000720,KR7000720003,현대건설,KOSPI,35950,100,.28,36150,36200,35650,424972,15243362900,111355765,4003239751750
20231214,000720,KR7000720003,현대건설,KOSPI,35850,550,1.56,35850,36050,35750,354632,12722296850,111355765,3992104175250
20231213,000720,KR7000720003,현대건설,KOSPI,35300,-700,-1.94,36000,36050,35200,305552,10885932850,111355765,3930858504500
20231212,000720,KR7000720003,현대건설,KOSPI,36000,0,0,36150,36350,36000,207740,7509525150,111355765,4008807540000
20231211,000720,KR7000720003,현대건설,KOSPI,36000,-100,-.28,36250,36300,35750,217105,7801438550,111355765,4008807540000
20231208,000720,KR7000720003,현대건설,KOSPI,36100,-200,-.55,36350,36450,36050,200960,7267209450,111355765,4019943116500
20231207,000720,KR7000720003,현대건설,KOSPI,36300,-400,-1.09,36450,36750,36100,203158,7378862650,111355765,4042214269500
20231206,000720,KR7000720003,현대건설,KOSPI,36700,1350,3.82,35500,36900,35400,605868,22078244800,111355765,4086756575500
20231205,000720,KR7000720003,현대건설,KOSPI,35350,-200,-.56,35450,35700,35150,253755,8992720350,111355765,3936426292750
20231204,000720,KR7000720003,현대건설,KOSPI,35550,-300,-.84,36200,36250,35450,341146,12199754500,111355765,3958697445750
20231201,000720,KR7000720003,현대건설,KOSPI,35850,0,0,36250,36700,35800,359962,13015702900,111355765,3992104175250
20231130,000720,KR7000720003,현대건설,KOSPI,35850,0,0,35800,36050,35600,462472,16552761400,111355765,3992104175250
20231129,000720,KR7000720003,현대건설,KOSPI,35850,-1450,-3.89,37500,37500,35750,636223,23107430750,111355765,3992104175250
20231128,000720,KR7000720003,현대건설,KOSPI,37300,250,.67,37250,37300,36900,283479,10521206300,111355765,4153570034500
20231127,000720,KR7000720003,현대건설,KOSPI,37050,200,.54,36900,37450,36850,225833,8381526200,111355765,4125731093250
20231124,000720,KR7000720003,현대건설,KOSPI,36850,-450,-1.21,37400,37450,36800,269963,9994778900,111355765,4103459940250
20231123,000720,KR7000720003,현대건설,KOSPI,37300,250,.67,37450,37650,37050,434611,16251376900,111355765,4153570034500
20231122,000720,KR7000720003,현대건설,KOSPI,37050,-300,-.8,37000,37250,36850,333545,12349748900,111355765,4125731093250
20231121,000720,KR7000720003,현대건설,KOSPI,37350,500,1.36,37350,37800,37100,514136,19211653500,111355765,4159137822750
20231120,000720,KR7000720003,현대건설,KOSPI,36850,150,.41,36800,37000,36600,232753,8565523600,111355765,4103459940250
20231117,000720,KR7000720003,현대건설,KOSPI,36700,300,.82,36600,36700,36200,278431,10177098150,111355765,4086756575500
20231116,000720,KR7000720003,현대건설,KOSPI,36400,-50,-.14,36350,36600,36000,285792,10393143500,111355765,4053349846000
20231115,000720,KR7000720003,현대건설,KOSPI,36450,1250,3.55,35800,36500,35600,850716,30769735150,111355765,4058917634250
