basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20231228,004020,KR7004020004,현대제철,KOSPI,36500,1000,2.82,35600,36500,35400,321471,11633678500,133445785,4870771152500
20231227,004020,KR7004020004,현대제철,KOSPI,35500,-100,-.28,35500,35600,35000,132112,4659343500,133445785,4737325367500
20231226,004020,KR7004020004,현대제철,KOSPI,35600,500,1.42,35450,35650,35050,212487,7532089250,133445785,4750669946000
20231222,004020,KR7004020004,현대제철,KOSPI,35100,150,.43,35100,35300,34900,164601,5777061550,133445785,4683947053500
20231221,004020,KR7004020004,현대제철,KOSPI,34950,-400,-1.13,35100,35400,34850,174513,6111084150,133445785,4663930185750
20231220,004020,KR7004020004,현대제철,KOSPI,35350,650,1.87,34850,35450,34750,298893,10501717400,133445785,4717308499750
20231219,004020,KR7004020004,현대제철,KOSPI,34700,150,.43,34450,34800,34400,182262,6306584050,133445785,4630568739500
20231218,004020,KR7004020004,현대제철,KOSPI,34550,-300,-.86,34750,34750,34100,314145,10823698100,133445785,4610551871750
20231215,004020,KR7004020004,현대제철,KOSPI,34850,-450,-1.27,35400,35600,34650,448610,15716304450,133445785,4650585607250
20231214,004020,KR7004020004,현대제철,KOSPI,35300,500,1.44,35150,35600,34900,293069,10341767800,133445785,4710636210500
20231213,004020,KR7004020004,현대제철,KOSPI,34800,50,.14,34750,35150,34450,277177,9633585550,133445785,4643913318000
20231212,004020,KR7004020004,현대제철,KOSPI,34750,0,0,35000,35300,34750,130156,4552031350,133445785,4637241028750
20231211,004020,KR7004020004,현대제철,KOSPI,34750,0,0,34900,35000,34500,129112,4484938200,133445785,4637241028750
20231208,004020,KR7004020004,현대제철,KOSPI,34750,0,0,35150,35150,34400,201909,7007412450,133445785,4637241028750
20231207,004020,KR7004020004,현대제철,KOSPI,34750,-450,-1.28,35050,35400,34250,194709,6766023350,133445785,4637241028750
20231206,004020,KR7004020004,현대제철,KOSPI,35200,-700,-1.95,35900,36100,35150,186210,6614579700,133445785,4697291632000
20231205,004020,KR7004020004,현대제철,KOSPI,35900,600,1.7,35000,36200,34950,252719,9074691200,133445785,4790703681500
20231204,004020,KR7004020004,현대제철,KOSPI,35300,400,1.15,35350,35650,34900,182658,6453204150,133445785,4710636210500
20231201,004020,KR7004020004,현대제철,KOSPI,34900,-300,-.85,35200,35650,34900,154213,5435231050,133445785,4657257896500
20231130,004020,KR7004020004,현대제철,KOSPI,35200,100,.28,35050,35200,34500,415887,14562017950,133445785,4697291632000
20231129,004020,KR7004020004,현대제철,KOSPI,35100,-850,-2.36,35600,35950,35050,249482,8807871850,133445785,4683947053500
20231128,004020,KR7004020004,현대제철,KOSPI,35950,150,.42,36000,36000,35100,206977,7368189200,133445785,4797375970750
20231127,004020,KR7004020004,현대제철,KOSPI,35800,250,.7,35550,35900,35300,180444,6430153400,133445785,4777359103000
20231124,004020,KR7004020004,현대제철,KOSPI,35550,200,.57,35450,35850,35350,133750,4764295750,133445785,4743997656750
20231123,004020,KR7004020004,현대제철,KOSPI,35350,-400,-1.12,35800,35900,35200,157475,5575987550,133445785,4717308499750
20231122,004020,KR7004020004,현대제철,KOSPI,35750,600,1.71,34900,35850,34850,242773,8640719650,133445785,4770686813750
20231121,004020,KR7004020004,현대제철,KOSPI,35150,450,1.3,35050,35400,34800,210946,7414635900,133445785,4690619342750
20231120,004020,KR7004020004,현대제철,KOSPI,34700,-450,-1.28,34800,35050,34500,154328,5368334700,133445785,4630568739500
20231117,004020,KR7004020004,현대제철,KOSPI,35150,250,.72,34750,35150,34400,228160,7953409550,133445785,4690619342750
20231116,004020,KR7004020004,현대제철,KOSPI,34900,350,1.01,34250,34900,33950,209296,7199593400,133445785,4657257896500
20231115,004020,KR7004020004,현대제철,KOSPI,34550,950,2.83,34200,34700,34100,349655,12029191950,133445785,4610551871750
20231114,004020,KR7004020004,현대제철,KOSPI,33600,-150,-.44,34050,34050,33350,294929,9902786900,133445785,4483778376000
20231113,004020,KR7004020004,현대제철,KOSPI,33750,-500,-1.46,34500,34550,33600,220896,7470525250,133445785,4503795243750
